1963,Navy,Midshipmen,28,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,7,B,9,8,3,F+X,11,PI DS,QT,21,T1,F-DS,10,,,
11,1,3,2,6,1,16,PI DS,QR,QT,27,F+X,DS,11,,,
12,7,6,2,3,B,32,(X),-11,QT,43,3,DS,12,,,
13,1,9,3,7,BLP,OFF S,(X),16,PI T1,T1,4,2,13,,,
14,DEF S,OFF S,DEF R,OFF R,OFF R,DEF S,OFF S,DEF S,DEF R,21,2,1,14,,,
15,OFF S,DEF S,OFF R,DEF R,DEF R,QT,DEF S,OFF R,OFF S,30,1,4,15,,,
16,2,9,5,2,2,(DS),13,DS,QR,T2,4,3,16,,,
17,2,9,8,4,6,(DS),-7,17,56,21,3,F-DS,17,,,
18,7,3,5,DS,7,(DS),7,DS,(T2),22,DS,B,18,,,
19,5,DS,DS,DS,3,TD,T2,F+X,TD,TD,DS,44,19,,,
20,9,1,8,4,2,42,QR,QR,33,TD,B,4,20,,,
21,2,2,,8,B,16,QR,QR,27,23,17,4,21,,,
22,6,8,1,1,,QR,QR,QR,-29,20,7,7,22,,,
23,6,B,3,2,6,-8,QR,QR,QT,15,4,8,23,,,
24,B,1,4,,5,QR,QR,QR,QT,11,1,6,24,,,
25,B,2,5,9,2,-12,-13,19,-15,15,3,DS,25,,,
26,8,7,4,6,2,QT,(X),-11,-15,21,9,4,26,,,
27,9,7,1,9,2,QR,(X),16,38,29,19,12,27,,,
28,7,4,9,7,5,QT,T1,-14,(TD),35,T1,T1,28,,,
29,2,F+DS,F-4,5,9,-34,QR,T2,T2,40,T1,13,29,,,
30,4,8,1,5,4,T1,-5,32,-27,T1,X,10,30,,,
31,6,5,4,2,BLP,QT,QR,15,QT,16,7,2,31,,,
32,7,6,5,4,SOP,INC,INC,INC,INC,10,6,,32,,,
33,3,7,8,6,BLP,INC,INC,INC,INC,12,3,6,33,,,
34,9,6,4,4,SOP,INC,INC,INC,INC,12,1,7,34,,,
35,5,4,B,B,SOP,INC,QR,-10,INC,12,5,DS,35,,,
36,2,B,7,5,BLP,16,-12,QR,INC,12,8,3,36,,,
37,6,5,6,,SOP,2,15,-17,QT,17,7,6,37,,,
38,B,6,2,B,3,QR,-11,QR,48,18,DS,9,38,,,
39,F,1,3,F-2,3,QT,QR,13,QR,38,T1,DS,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,,,(O),,,,,INC,55,27,BK-X,F-3,T1,DEF R,10
2,,,,-1,,,,INC,,58,22,DEF S,F+DS,F+T2,OFF S,11
3,-2,-1,,-1,(O),,INC,INC,,70,,OFF S,44,OFF R,31,12
4,,,,,,,,,,65,F+DS,34*,5,3,31,13
5,,,,,,7,INC,INT DS,INT X,70,31,22*,3,X,31,14
1,(O),,,,(O),,,,5,57,DEF R,60,DEF R,15,NG,15
2,(O),(O),-1,(O),,7,,,,56,27,49*,38,DEF R,31,16
3,-1,,,,(O),12,,,,71,16,47,T1,,NG,17
4,,,,,,,QR,,(T2),65,13,31*,24,DS,31,18
5,,,,,,INT-3,(T2),(T2),(TD),69,T2,T1*,T2,T2,NG,19
1,,-1,(O),,,(O),,,,60,13,36*,TD,,NG,20
2,,,(O),3,,(O),,,,68,32,35*,12,19,24,21
3,,,-1,,,-1,,,INC,61,17,40,13,24,30,22
4,,,,,,,INC,,,67,22,46,11,DS,31,23
5,,,,,,DS,INT 6,INT X,INC,54,14,41*,1,3,30,24
1,,-1,,,,,INC,INC,,63,36,44,2,5,14,25
2,,-1,,,,,INC,,,62,26,37*,OFF R,TD,31,26
3,,,(O),,,,,,INC,50,T1,49,14,T1,6,27
4,,,,,,,,,,48,OFF R,34*,21,,BK-X,28
5,,,,,,INT -2,INT DS,INC,INC,75,17,30*,45,,BK-X,29
1,-4,-5,-5,-5,-5,-4,,,INC,60,21,33*,11,T1,NG,30
2,-6,-5,-5,-5,-5,-6,,,INC,53,X,45,X,T2,16,31
3,,,,,,,QR,QR,INC,64,35,38*,2,,31,32
4,,,,,,,,,,59,23,42,3,DS,31,33
5,,,,,,,,,INT T1,50,T1,39*,DS,T1,31,34
1,1,1,1,1,DS,X,,,QT,51,16,T1*,,T1,17,35
2,,,,,DS,X,,,,59,19,T2,,,31,36
3,3,3,(X),3,DS,X,,QT,,56,14,43,1,53,29,37
4,5,5,6,8,DS,T1,QT,-16,INT T1,56,13,38*,4,X,31,38
5,6,7,F-DS,-40,F-DS,INT-6,INC,INT 17,(T2),73,24,33*,37,DS,20,39
