1966,Michigan State,Spartans,33,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,B,1,8,B,,DS,INC,INC,T1,TD,DS,T1,10,,,
11,OFF S,5,B,OFF S,OFF S,OFF S,DS,10,T2,13,3,12,11,,,
12,5,DS,OFF S,1,SOP,DS,OFF S,OFF R,OFF S,28,DS*,2,12,,,
13,4,OFF S,3,9,BLP,24,QR,11,INC,12,,11,13,,,
14,5,DS,4,3,SOP,QR,INC,QR,30,11,4,1,14,,,
15,9,2,,3,B,QR,QR,INC,INC,10,3,7,15,,,
16,3,6,DEF R,DEF S,DEF S,OFF R,INC,DEF R,DEF R,31,4,F-DS,16,,,
17,DEF R,DEF S,4,4,5,DEF R,DEF S,QR,INC,22,DS,F-DS,17,,,
18,X,DEF S,F-3,DEF R,B,DS,PI DS,F+X,PI T1,48,T1,1,18,,,
19,5,5,DS,DS,F+DS,QR,F+DS,T2,TD,TD,B,B,19,,,
20,1,5,1,F,SOP,F+1,QR,QR,T1,T2,5,2,20,,,
21,5,3,4,2,BLP,QR,X,QR,TD,25,DS,,21,,,
22,,3,7,5,BLP,QR,QR,QR,21,18,9,8,22,,,
23,2,5,,2,2,X,QR,4,22,14,,X,23,,,
24,7,6,2,B,9,INC,QR,QR,X,17,,6,24,,,
25,,7,8,,BLP,INC,QR,QR,QT,12,5,6,25,,,
26,4,7,B,1,BLP,INC,QR,QR,QR,T1,2,6,26,,,
27,8,3,DS,7,B,DS,X,QR,INC,21,2,6,27,,,
28,F+2,F-2,F-DS,7,4,X,QR,QR,INC,12,DS,5,28,,,
29,5,2,4,3,DS,INT-DS,T2,QR,INT T1,T2,8,DS,29,,,
30,7,9,4,3,6,INC,QR,QR,INC,T1,5,8,30,,,
31,1,9,2,8,,INC,QR,QR,INC,11,6,4,31,,,
32,2,3,4,4,3,INC,6,QR,INC,12,7,3,32,,,
33,4,4,4,4,SOP,QR,7,QR,INC,11,,DS,33,,,
34,B,B,B,B,BLP,QT,QR,5,INC,11,X,4,34,,,
35,B,B,B,3,SOP,QR,QR,QR,INC,10,DS,DS,35,,,
36,4,5,4,4,2,QT,QR,QR,INC,10,2,8,36,,,
37,2,5,1,1,8,QR,QR,QR,INC,24,2,3,37,,,
38,3,,1,1,5,QT,T1,T1,T1,21,5,DS,38,,,
39,8,1,,7,B,T1,T1,T1,T2,16,F,DS,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-2,-2,-1,-1,-2,,-1,INC,,40,TD,56*,3,T1,33,10
2,2,2,2,-1,2,,,-2,INC,45,21,55,X,F+X,33,11
3,2,2,2,(O),2,QT,,-2,,50,DEF R,DEF R,9,,DEF S,12
4,,,,,,,,,,55,OFF R,44,13,2,OFF S,13
5,,,,,,,QT,,INT X,60,21,41,OFF S,DS,X,14
1,-1,(O),(O),(O),-1,,,,,65,17,42,DEF R,X,33,15
2,(O),2,2,2,(O),,,,20,66,12,44,F+DS,T1,NG,16
3,(O),2,2,2,(O),-2,,,,75,10,T2,17,T2,X,17
4,,,,,,,QT,QT,(T1),70,41,53,TD,TD,BK-X,18
5,,,,,,,QT,QT,(T2),75,T2,BK-X,T2,T2,33,19
1,-1,-2,(O),(O),3,(O),,-1,18,65,21,46,11,T1,11,20
2,2,2,(O),2,3,-1,,,INC,60,X,41,15,TD,16,21
3,2,2,-2,2,-1,-2,,,,55,T1,39*,,OFF R,18,22
4,,,,,,1,QT,QT,,60,T1,34*,2,2,32,23
5,,,,,,INT-2,QT,QT,,55,13,33*,,DS,NG,24
1,-2,-2,(O),-2,-2,,INC,,INC,65,21,35*,X,,33,25
2,2,-2,2,2,2,,,,QT,41,20,OFF S,X,,X,26
3,2,-2,2,2,2,,,,,55,19,40,11,27,31,27
4,,,,,,,QT,,,39,11,58,40,DEF R,32,28
5,,,,,,,QT,INT DS,QT,68,15,51,39,,33,29
1,-3,-3,-3,-3,-3,4,-7,INC,INC,65,21,46,X,25,DS,30
2,-3,-3,-3,-3,-3,4,INC,(DS),INC,61,31,38,11,T2,33,31
3,,,,,,DS,,,INC,59,X,32*,DS,6,33,32
4,,,,,,,,,INC,66,16,46,,17,NG,33
5,,,,,,T1,,,,68,22,T1*,X,T1,33,34
1,,,,,4,DS,,,,60,14,42,,4,32,35
2,,,,,3,X,,,QT,59,22,32*,2,,32,36
3,-1,-2,-3,-3,6,QT,QT,QT,QT,72,33,39*,DS,TD,NG,37
4,X,X,X,B,F-DS,(41)*,QT,QT,QT,68,21,37,T1,18,33,38
5,F-4,F-1,F-DS,F-3,(DS),F-DS,F-2,F+DS,F+T1,69,25,40*,X,1,33,39
