1966,Notre Dame,Fighting Irish,30,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OFF R,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,7,B,B,10,2,F+X,OFF R,X,QT,19,T1,F-DS,10,,,
11,OFF R,DEF S,3,2,B,16,10,9,QT,T2,F+T1,F-DS,11,,,
12,7,8,OFF S,DEF R,OFF S,32,16,DEF S,T2,13,3,3,12,,,
13,1,7,7,8,SOP,5,16,OFF S,QT*,T1*,4,2,13,,,
14,8,10,7,3,10,DS,X,17,21,21,6,4,14,,,
15,1,(O),(O),(O),B,5,QR,QR,DEF S,29,5,1,15,,,
16,DEF R,OFF S,DEF R,OFF R,DEF S,11,DEF R,DS,INC,14,5,B,16,,,
17,F+DS,F-2,1,5,1,OFF R,6,21,OFF S,27,4,9,17,,,
18,1,10,F-3,8,7,DS,INT DS,DS,16,21,DS,9,18,,,
19,5,4,DS,F-DS,DS,TD,T2,F+X,20,T2,T2,F-DS,19,,,
20,10,2,4,B,2,QT,QR,QR,T1,TD,4,5,20,,,
21,(O),(O),8,(O),B,18,QR,QR,30,23,DS,3,21,,,
22,7,8,2,1,BLP,INC,INC,INC,13,22,DS,DS,22,,,
23,5,B,2,3,5,INC,INC,INC,INC,17,5,4,23,,,
24,B,1,1,4,6,INC,INC,INC,INC,13,,7,24,,,
25,B,2,10,5,1,INC,INC,INC,INC,14,1,3,25,,,
26,8,B,5,4,3,QT,X,19,X,21,B,4,26,,,
27,8,8,10,1,5,INC,16,17,T1,29,DS,10,27,,,
28,8,5,6,10,F-3,DEF R,DS,14,50,28,3,8,28,,,
29,4,4,6,3,10,T1,F+DS,T2,TD,42,T1,12,29,,,
30,5,7,5,1,4,X,QR,13,T1,13,6,11,30,,,
31,5,4,1,4,BLP,QR,QR,QR,INC,18,DS,1,31,,,
32,6,5,5,6,BLP,INC,INC,INC,INC,13,4,,32,,,
33,4,8,6,7,SOP,QT,QR,QR,QR,15,2,6,33,,,
34,8,5,4,4,5,QR,QR,QR,QT,10,2,8,34,,,
35,6,5,B,B,SOP,INC,DS,DS,INC,10,4,DS,35,,,
36,(O),5,5,7,BLP,20,X,10,INC,13,DS,4,36,,,
37,6,B,1,6,6,INC,17,19,QT,21,DS,9,37,,,
38,B,6,10,2,1,DS,13,X,TD,13,5,7,38,,,
39,(O),1,3,3,2,3,PI DS,11,18,14,22,13,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,2,(O),(O),(O),(O),,(O),INC,,66,F+X,OFF S,F+DS,DS,32,10
2,2,2,2,(O),2,,1,INC,INC,55,53,38*,DS,T1,35,11
3,(O),2,2,(O),2,2,1,3,INC,60,4,T1*,X,T2,35,12
4,2,2,2,1,,INT-2,1,INT X,INC,47,T2,T1*,X,F+T1,OFF S,13
5,2,2,2,1,,QT,INT 1,QT,INT T1,65,DEF R,DEF S,DEF R,DEF R,21,14
1,(O),(O),(O),(O),(O),,,,INC,70,31,55,OFF R,OFF R,23,15
2,-1,2,2,2,(O),,,,,66,OFF R,T1*,DS,,22,16
3,(O),2,2,2,(O),2,,,,72,TD,T1*,X,39,DEF R,17
4,2,2,1,1,2,INT-5,,,(T1),54,20,T2,TD,42,BK-X,18
5,2,F-2,1,1,3,QT,INT3,INT 17,(T1),65,T2,BK-X,T1,TD,NG,19
1,(O),(O),(O),-1,(O),INC,,,,66,17,48*,X,55,32,20
2,2,2,(O),2,2,(O),,,INC,65,T1,41,X,33,34,21
3,2,2,-1,2,2,-3,,,QT,66,T1,34*,DS,DS,T1,22
4,,,,,2,,INT X,INT X,INC,64,25,37*,13,,35,23
5,,,,,,,INT DS,INC,INT T1,67,19,39*,11,37,T1,24
1,(O),(O),(O),(O),(O),,INC,,,70,13,49,X,T1,35,25
2,2,(O),2,2,1,,INC,,QT,45,37,43,T1,X,22,26
3,2,(O),2,2,1,3,3,INC,,68,T1,36,3,X,28,27
4,,,,,1,3,INT DS,,INC,59,T2,T1*,DS,,15,28
5,,,,,1,INT-3,QT,INT 13,INT T1,75,T1,59,18,F-DS,NG,29
1,-3,-3,-5,-5,-5,,,,INC,65,31,48,X,T1,35,30
2,-3,-3,-5,-3,-3,,,,INC,60,21,33*,9,14,25,31
3,,,,,,,,,INT T1,65,11,T1*,,TD,25,32
4,,,,,,,,,,58,T1,44,,X,35,33
5,,,,,,,INT8,INT 15,,59,21,45,DS,,29,34
1,,,,,2,X,QT,,,68,30,39*,DS,DS,35,35
2,,,,,3,10,-16,,,69,28,35*,4,,30,36
3,-2,-2,-3,-3,4,QT,,QT,QT,61,12,41,3,T2,17,37
4,F-3,X,X,X,(DS),X,QT,QT,INT T1,49,30,T1*,10,T1,24,38
5,X,DS,F-DS,F-DS,F-DS,(T1),INT X,INT DS,QT,69,T2,43*,17,2,35,39
