1967,USC,Trojans,28,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,DEF15,18*,5*,OFF5,OFF5,OFF5,OFF15,OFF5,48,1,17,37,10,,,
11,3,3,3,OFF15,6,OFF15,OFF5,13,28*,3,4,53,11,,,
12,9,,12,DEF5,6,4,30,2,F+12,5,3,TD,12,,,
13,2,14,1,B,17,,11*,11,OFF5,F-1,2,32,13,,,
14,15,9,18,13,,3*,5,15,6,2,1,36,14,,,
15,7,7,9,16,,1*,2,9,16*,7,7,39,15,,,
16,4,1,5*,B,6,5,4,8,TD,4,4,24,16,,,
17,OFF15,F+1,OFF15,DEF15,6,DEF15,5*,DEF5,35*,9,F-1,52,17,,,
18,B,DEF15,11*,F,DEF15,DEF5,DEF15,DEF15,DEF15,3,2,54,18,,,
19,6,B,5*,2,F,,2,24*,50,6,3,55,19,,,
20,10*,F,10,3,6,1,11,7,PI 13,13,2,31,20,,,
21,2,15,2,1,6,8,4,2,24,F+1,3,30,21,,,
22,1,11*,7,B,17,INT 1,3,21,18,1,4,34,22,,,
23,,8,B,3,4,2,10,OFF15,INT 24,1,17,26,23,,,
24,3,2,1*,6,BLP,2,QR,QR,QT,3,4,25,24,,,
25,6,OFF5,8,12,BLP,20,QR,QR,QT,11,1,29,25,,,
26,F-3,14,7*,B,3,2,QR,QR,22,10,1,35,26,,,
27,17,1,5,15,5,QT,2,10*,INC,4,4,50,27,,,
28,11*,OFF15,10,2,6,5,QR,INC,INC,12,,38,28,,,
29,DEF5,DEF5,DEF5,3,DEF5,F,F+3,F+6,DEF5,8,2,37,29,,,
30,5,1,2*,7,OFF15,QT,2,26,8,6,4,51,30,,,
31,8,2,16,17*,7,INT 2,1,QR,QT,8,3,28,31,,,
32,3,5,13*,1,BLP,INC,INC,QR,INC,1,8,20,32,,,
33,OFF5,4,OFF5,,BLP,INC,INC,16,11,9,15,27,33,,,
34,1,3,4,2,SOP,INC,INC,INC,INC,6,,22,34,,,
35,2,,8,1,SOP,INC,INC,INC,INC,5,,23,35,,,
36,5,8,,14,SOP,INC,INC,INC,QT,7,2,21,36,,,
37,4,11,F-1,15,8,QT,INT 2,QR,QT,,7,33,37,,,
38,F+1,19,7,5,SOP,QT,INC,7*,14*,5,10,26,38,,,
39,,1,DEF15,7,BLP,QT,DEF5,12*,OFF15,,16,36,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,2,,3,,2,,,7,4,51,25,,TD,F,OFF5,10
2,1,2,1,2,,,2,,6,OFF5,40,47*,5,19*,OFF15,11
3,,2,,-3,-2,,2,INC,4,68,29,27,1,13,9,12
4,1,3,2,4,3,QT,INT 7,,QT,56,28,45,30*,4,14,13
5,2,2,5,,2,-2,INC,4,INC,42,12,39*,12,2,F-9,14
1,1,-2,,4,1,,,5,,61,34,17*,4,20,11,15
2,1,1,2,1,,,2,,,40,10,47,OFF15,TD,7,16
3,-1,1,1,-2,3,,2,7,QT,52,DEF15,OFF15,5,7*,DEF5,17
4,3,2,5,3,-3,-8,INC,inc,inc,64,26,42,3,5,DEF15,18
5,,2,5,,3,,,inc,-12,64,29,BK -12,20*,17,3,19
1,,1,2,,1,,,5,8,48,25*,50,60,OFF15,5,20
2,1,1,-1,2,-1,1,,4,,60,OFF15,46,,55,15,21
3,,,1,-1,2,3,INC,2,QT,39,20*,DEF15,11*,35,6,22
4,1,2,,,1,INC,10,INC,5,OFF5,22,36,18,30,10,23
5,,,1,,3,QT,10,INC,11,57,12,39,,40,11,24
1,1,1,1,3,2,,4,INC,10,67,32,33,2,12,10,25
2,1,1,,2,,2,3,5,,47,11,33*,19,6,6,26
3,1,1,4,,-1,1,INC,7,,63,17,49,15,20,4,27
4,1,1,1,-2,3,,INT 8,INT 10,INC,72,10,46,DEF15,50,8,28
5,2,2,,6,,inc,4,INC,QT,43,42,DEF5,5*,25,BK-10,29
1,2,,,3,,,,4,4,61,28,18*,4,14*,7,30
2,,1,2,,,,2,2,INC,50,13,38,12,F+3,NG,31
3,,,,,3,,2,INC,5,58,17,42*,8,,10,32
4,1,3,5,1,-3,-12,INT 11,4,QT,51,24,36*,25,3,15,33
5,2,6,,5,,,INC,6,7,53,F+7,24*,F,,13,34
1,,,,1,,,,,QT,54,16,27*,6,,12,35
2,,,,,2,,,2,,50,27,53,16,,11,36
3,-1,-2,-3,-3,6,-16,-10,INC,,62,14*,19*,13,40,15,37
4,3,1,1,6,,QT,INT 10,,QT,63,26*,43,20,18,5,38
5,,4,2,1,4,QT,QR,QR,inc,55,44,OFF5,4*,DEF15,9,39
