1969,Missouri,Tigers,27,0,1159144,c:\Mike\Football\Helmets\Missouri.bmp,MIZ,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,-1,DEF S,,4,DS,DS,DEF S,QR,QR,T1,-2,-DS,10,
11,-1,OFF S,,,1,36,QR,QR,DEF S,TD,-5,-DS,11,
12,DEF R,1,1,DEF R,DEF S,DEF S,INC,INC,INC,23,-2,-16,12,
13,OFF S,F 1,DEF S,DS,5,QR,QR,DEF R,QT,21,-5,-1,13,
14,DS,1,OFF R,,,QR,QR,QR,QT,22,,-DS,14,
15,F -1,B,4,OFF R,OFF S,OFF R,OFF S,13,48,21,-1,-12,15,
16,2,DS,-1,-4,,12,QR,T1,OFF S,T1,-DS,-1,16,
17,3,-3,F -3,F DS,F 2,QR,QR,QR,OFF 10,TD,F -DS,F -DS,17,
18,B,4,DS,B,BLP,QR,QR,F X,QR,T1,-3,F -DS,18,
19,B,6,4,B,SOP,F X,F DS,QR,TD,TD,-13,-15,19,
20,,-2,-3,-2,,QT,INT DS,INT T1,TD,22,X,3,20,
21,5,-2,-2,,,QT,QR,17,QT*,T1*,,DS,21,
22,5,,DS,DS,SOP,2,T1,X,QT,10,-1,1,22,
23,DS,5,4,2,SOP,,INC,12,X,17,4,5,23,
24,DS,DS,1,-6,BLP,DS,INC,X,INC,12,,5,24,
25,1,-4,5,(DS),BLP,INC,INC,INC,X,13,5,6,25,
26,7,DS,2,-5,3,6,16,15,T1,11,-2,1,26,
27,2,-5,6,,,QT,QR,13,36,10,B,DS,27,
28,3,5,DS,4,SOP,DS,DS,21,43,22,1,DS,28,
29,2,2,4,5,SOP,TD,TD,TD,T2,T2,T1,X,29,
30,DS,1,1,B,,T1,14,QR,TD,14,3,-4,30,
31,-5,DS,DS,6,DS,X,DS,QR*,INC,14,2,-1,31,
32,B,5,6,5,DS,INC,INC,INC,INC,14,1,-DS,32,
33,4,-4,4,1,6,INC,QR*,INC,INC,12,3,,33,
34,-5,B,B,B,5,INC,QR,INC,INC,10,4,-3,34,
35,DS,B,B,DS,2,INC,INC,INC,INC,11,-2,-5,35,
36,-5,-4,DS,4,4,DS,INC,INC,INC,17,DS,,36,
37,2,DS,5,5,DS,INC,QR,14,QT,17,5,-3,37,
38,2,4,-2,1,B,DS,17,QR,X,11,15,-4,38,
39,DS,4,,DS,SOP,INC,QR,QR,TD,T1,DS,-11,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-1,(-1),(0),(0),-3,DS,INC,INC,INC,74,T2,DEF S,T2,TD,T1,10,
2,-1,-1,-1,(0),-3,DS,,-2,X,67,T1,35*,X,,23,11,
3,,,,(-1),-3,X,,QT,,61,16,32*,X,T1,22,12,
4,,,,,-3,DS,,,,55,T1,OFF S,T1,1,DEF S,13,
5,,,,,-3,T1,INC,INC,INC,64,19,51,T1,,NG,14,
1,(0),(0),(0),(0),(0),DS,,,X,66,13,51,X,41,21,15,
2,(0),-1,-1,,(0),,,,X,43,X,55,40,T2,OFF S,16,
3,(0),,,,(-1),,,,INC,57,TD,T1*,F -2,-3,T1,17,
4,-1,,,,-1,INC,,,(T2),65,T1,31*,2,-DS,DS,18,
5,-1,,,,-1,-40,-20,-28,(TD),75,F X,T1*,1,T1,BK -X,19,
1,(0),(0),(0),(0),,INC,INC,,X,70,DEF R,34*,DS,,T1,20,
2,-1,-1,(0),-1,(-2),(0),,,INC,66,39,41*,DEF S,,T1,21,
3,,,(0),,,(-1),,INC,INC,65,OFF R,35*,,2,T1,22,
4,,,,,,,-14,(X),INC,58,16,55,T1,1,NG,23,
5,,,,,,,INT DS,INT 11,INC,60,T1,42,X,17,T1,24,
1,-1,(0),-1,-1,-2,-1,INC,,INC,59,DS,41,DS,13,23,25,
2,-1,-2,-1,-1,,-1,QR,INC,X,61,24,33*,,2,29,26,
3,,-2,,,,-8,INC,,INC,64,33,44,OFF R,,X,27,
4,,-2,,,,F -DS,,,22,64,X,60,44,T1,33,28,
5,,-2,,,,INT ,INT 6,INT X,INC,64,-3,BK -X,-DS,,22,29,
1,,-2,,,,X,,INC,INC,55,29,31*,T1,,30,30,
2,,-2,,,,,(DS),,INC,53,24,45,DS,,22,31,
3,,-2,,,,DS,,,,56,23,40*,6,27,31,32,
4,,-2,,,,T1,,,INT T1,62,30,33*,DS,DS,33,33,
5,,-2,,,,TD,INC,INC,INC,65,27,40*,14,6,33,34,
1,,,,,(0),QT,,QT,QT,54,25,40,DS,3,29,35,
2,,,,,(0),,-15,,12,68,18,35*,5,X,29,36,
3,-4,(-3),-4,-4,(-2),20,QT,-13,QT,70,T1,43,22,,22,37,
4,-4,,-DS,,,25,QT,QT,(T2),55,T1,45,X,DEF R,22,38,
5,B,F -3,T1,F -2,F -DS,(TD),(T1),INT X,X,67,11,52,T1,OFF R,33,39,
