1969,Texas,Cornhuskers,30,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,1,8,F-DS,F+DS,SOP,INT-2,QR,F+X,F+T1,TD,F+DS,T1,10,,,
11,OFF R,OFF S,OFF R,(O),DEF S,OFF R,PI DS,QR,T2,12,2,6,11,,,
12,5,DEF S,DS,OFF R,OFF S,OFF S,OFF R,OFF R,PI T1,21,2,2,12,,,
13,5,(O),5,11,BLP,INC,12,QR*,OFF S,24,,,13,,,
14,5,7,3,,SOP,X,INC,10,QR,TD,4,1,14,,,
15,DS,8,1,DEF R,6,INC,DEF S,QR,QR,44,3*,DS,15,,,
16,F+1,2,DEF R,3,1,DEF S,QR*,DEF R,DEF R,30,4,6,16,,,
17,DEF R,7,7,DEF R,DEF R,DEF R,QR,QR,QR,22,DS,12,17,,,
18,3,F-2,DEF S,5,OFF R,T1,QR*,QR,QR,21,T1,TD,18,,,
19,5,4,DS,2,3*,5,X,TD,TD,TD,T2,B,19,,,
20,-1,-4,1,,SOP,5,11,X,T1,30,X,,20,,,
21,5,-4,-5,1,1,1,DS,QR,T1,26,DS,,21,,,
22,(O),3,7,-5,BLP,INC,QR*,QR,37,17,9,5,22,,,
23,-4,6*,(O),2,-1,INC,QR,QR,T1,14,B,7,23,,,
24,DS,5,2,(B),10,INC,QR,QR,X,T1*,4,11,24,,,
25,-1,8,10,(O),7,INC,QR,QR,INC,12,5,10,25,,,
26,5,10,2,6,4,INC,QR,QR,INC,21,1,11,26,,,
27,7,3,4,8,4,9,X*,QR,INC,39,1,6,27,,,
28,4,2,6,6,F-2,T1,12,QT,INC,50,DS,F-12,28,,,
29,5,2,-5,3,DS,T2,T2,QT,INC,T2,DS,F-DS,29,,,
30,7,9,-4,3,6,DS,X,DS,INC,38,DS,7,30,,,
31,DS,8,2,8,(O),1,QR,QR*,INT T1,15,6,DS,31,,,
32,-5,-5,-5,4,3,,QR,QR,QT,18,7,3,32,,,
33,-5,-5,-5,4,-1,2,QR,QR,QR,11,3,DS,33,,,
34,B,B,B,B,B,INC,QR,QR,INC,13,5,X,34,,,
35,(B),(B),(B),8,B,INC,QR,QR,QT,17,DS,DS,35,,,
36,6,4,5,5,B,DS,QR*,QR*,QR,11,2,3,36,,,
37,2,6,(O),(O),DS,7,QR,QR,QR,19,1,3,37,,,
38,3,(O),(O),(O),5,7,DS,X,QT,T1,5,DS,38,,,
39,9,-1,3,7,DS,29,10,T1,QT,24,1,DS,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN,,# ON DICE
1,,,,,-1,,-2,,DS,49,23,50,T1,T1,NG,10
2,2,2,2,2,2,,-2,,DS,50,DS,50,DS,,37,11
3,(O),-1,-2,(O),,,INC,,INC,54,15,30*,46,DEF R,34,12
4,-1,(O),-1,-3,,INT-3,INT X,INT DS,INC,56,19,40,21,T2,36,13
5,,,-2,,,3,3,QT,DS,62,18,33*,T1,OFF R,32,14
1,-1,(O),2,2,2,,,,,64,DS,40,,OFF S,NG,15
2,(O),1,1,1,1,3,,,QT,65,20,38*,DS,F+DS,DEF R,16
3,-2,2,(O),(O),(O),,,,,55,24,40*,TD,2,OFF R,17
4,,2,-2,-1,-2,F-3,,,,66,F+DS,47,12,X,37,18
5,,2,,,,INT 2,INT DS,,F+T1,69,TD,T2,TD,TD,BK-X,19
1,,,(O),-1,(O),(O),,-2,DS,70,DEF R,OFF S,DS,55,38,20
2,2,2,-1,,,(O),-2,,DS,55,OFF R,42,X,TD,36,21
3,-1,(O),(O),2,2,-3,,,DS,55,25,37*,X,15,36,22
4,-2,-2,,,,,INT DS,INT X,INT T1,62,16,43,3,11,NG,23
5,,,,,,,3,-2,INC,56,43,50,2,DEF R,35,24
1,-2,(O),-2,-1,-2,,,-3,INC,65,12,45*,,T1,23,25
2,2,2,2,2,2,2,,5,DS,69,52,50,,4,36,26
3,2,2,2,2,2,3,-2,7,DS,54,12,T1*,OFF R,TD,36,27
4,,,,,,3,INT 5,INT 13,INT25,62,22,DEF R,DEF R,DS,NG,28
5,,,,,,3,,QT,,55,T2,BK-X,17,3,NG,29
1,,,,,,DS,,,INC,51,DS,51,X,35,T1,30
2,,,,,,DS,,,INC,65,18,41,12,24,38,31
3,,,,,,X,INC,INC,INC,63,T1,39*,,1,T1,32
4,,,,,,T1,INT 11,INT 15,INT 33,T2,26,41,11,DS,33,33
5,,,,,,T1,,,INT 27,66,T1,T1*,3,,38,34
1,,,,,-3,DS,,QT,QT,55,19,44*,13,,36,35
2,,,,,4,4,QT,,,69,T1,33*,19,DS,35,36
3,2,2,4,-2,5,-19,,,,71,25,43,DS,T2,31,37
4,F-3,F-2,DS,4,5,,,-22,INT T1,70,21,36*,X,X,35,38
5,DS,DS,F-DS,F-3,F-DS,F-DS,-19,QT,(TD),59,36,45,18,X,37,39
