1971,Nebraska,Cornhuskers,28,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,(O),F-3,(O),DEF S,,DEF R,TD,5,TD,T2,17,DS,10,,,
11,B,2,(O),(X),B,OFF S,OFF S,T1,T1,12,16,2,11,,,
12,OFF S,2,,,2,DS,X,42,OFF R,T1,14,4,12,,,
13,(O),(O),,(DS),5,DEF S,1,DEF S,INC,14,10,,13,,,
14,DEF R,(O),(DS),4,(B),5,6,12,T1,10,DS,DS,14,,,
15,B,-2,OFF S,(X),3,X,DEF S,3,18,19,4,5,15,,,
16,B,DS,DEF R,,6,QT,5,OFF R,T1,17,15,12,16,,,
17,B,4,F+DS,(DS),B,QT,DS,T1,T1,21,F+X,,17,,,
18,OFF R,OFF R,DEF S,,DS,INC,11,T2,F+T2,T1,T1,B,18,,,
19,F+X,F+1,F-DS,F+X,F+B,T2,PI 19,PI X,PI T1,25,T1,7,19,,,
20,B,DS,1,(DS),OFF R,X,DS,X,40,TD,22,12,20,,,
21,DS,5,(DS),OFF S,-2,6,DS,T1,21,14,DS,F-DS,21,,,
22,(O),6,4,4,4,INC,QR,15,21,14,6,5,22,,,
23,-3,B,(DS),(DS),6,INC,QR,8,INC,12,3,7,23,,,
24,-2,B,2,B,(O),INC,INC,INC,INC,11,4,DS,24,,,
25,DS,4,B,(DS),(B),INC,INC,INC,INC,12,,DS,25,,,
26,DS,DS,B,3,7,T1,QR,12,24,12,10,17,26,,,
27,(O),DS,(DS),DS,3,4,QR,13,DEF R,18,15,3,27,,,
28,DS,5,DEF S,1,B,1,T1,DS,TD,TD,23,F+DS,28,,,
29,5,DEF S,DS,3,3,4,T1,TD,21,T2,T1,11,29,,,
30,5,6,5,(X),B,X,17,5,29,22,DS,12,30,,,
31,B,(O),5,3,BLP,2,16,QR,14,15,DS,5,31,,,
32,3,-4,4,(DS),SOP,INC,QR,QR,INC,10,DS,DS,32,,,
33,-5,-7,(DS),3,(B),INC,QR,QR,QT,12,2,DS,33,,,
34,-5,B,(DS),B,(DS),INC,QR,QR,INC,12,1,6,34,,,
35,B,-4,B,3,BLP,INC,QR,QR,INC,10,DS,DS,35,,,
36,-4,-5,3,(X),4,INC,QR,QR,INC,10,2,6,36,,,
37,6,B,(DS),,SOP,INC,INC,INC,23,19,2,11,37,,,
38,DS,3,,4,B,INC,16,10,22,17,3,8,38,,,
39,5,DEF R,(DS),OFF R,(O),DS,19,17,TD,TD,18,5,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,,,(O),-2,(O),INC,,,44,F- DS,T1*,TD,OFF R,NG,10
2,,,,,,,,,INC,48,DS,51,DS,OFF R,39,11
3,(O),-1,-1,2,,INC,INC,INC,,55,T2,52,3,T1,OFF S,12
4,-1,(O),(O),2,,,F+DS,INC,INC,65,31,32*,OFF R,T2,NG,13
5,F,-2,F-DS,-2,,,INT DS,INT DS,INT T1,66,DS,26*,1,T1,39,14
1,(O),(O),,2,,,,,,56,T1,41,2,TD,X,15
2,(O),(O),(O),4,(O),,,,,67,T1,36*,F+DS,DEF R,DEF S,16
3,2,2,,(O),(O),,,,,70,DS,53,T2,DEF R,DEF R,17
4,(O),F-1,(O),F+4,,QT,,,QT,72,TD,T2,TD,F+T1,39,18
5,-1,-2,(O),(O),,INT -5,,,,67,TD,BK-X,TD,TD,33,19
1,,2,(O),(O),(O),-1,,,,56,1,38*,10,X,32,20
2,-1,2,(O),2,5,5,,,,68,24,OFF S,X,T2,25,21
3,,(O),(O),2,2,5,INC,INC,INC,68,22,46,11,T1,24,22
4,,(O),,2,F-DS,,INC,INC,INC,70,26,39*,13,DS,29,23
5,,,,(O),,,INT X,INT DS,INT 23,55,T1,51,,,39,24
1,,,,3,,,2,INC,3,65,T1,41,20,,35,25
2,,,,3,,,2,2,INC,72,OFF R,32*,4,3,39,26
3,-1,(O),,(O),,3,INC,INC,INC,75,DEF R,33*,DEF R,T1,36,27
4,-2,-1,(O),(O),,2,2,INT DS,QT,65,F+X,DEF R,T2,,NG,28
5,(O),-2,(O),(O),,INT -2,INT 3,INT DS,INT T1,38,T2,60,T2,,BK-X,29
1,,,,,,5,,1,INC,70,23,48,T1,T1,NG,30
2,,,,,,QR,,1,QT,65,22,44,,T1,39,31
3,,,,,,5,QR,1,5,61,28,35*,DS,TD,31,32
4,,,,,,DS,INC,QT,QT,59,23,39*,DS,,33,33
5,-3,-2,-3,-2,,X,INT X,QT,QT,66,23,36*,,X,39,34
1,4,1,1,1,-1,DS,,QT,,62,24,43,T1,X,32,35
2,2,4,4,4,3,DS,QT,,QT,55,27,25*,X,,39,36
3,2,4,5,4,5,DS,,,,61,T1,45,DS,,34,37
4,F-2,-2,-4,-4,F-DS,DS,,INT 16,INT T1,69,25,37*,T1,T1,33,38
5,-6,F-2,F-DS,F-DS,(DS),INT -DS,QR,INT 12,INT X,77,T2,T1*,19,T1,39,39
