1972,USC,Trojans,30,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,12,1,19,OFF R,(DS),DEF R,DEF S,OFF R,45,T1,12,,10,,,
11,19,1,13,DS,4,15,T1,16,40,17,1,21,11,,,
12,DEF R,(B),11,4,5,13,11,17,24,42,5,DS,12,,,
13,OFF S,(O),1,DS,,5,DS,2,T2,T1,6,DS,13,,,
14,DS,3,4,3,DEF S,OFF S,INC,DS,28,24,11,DS,14,,,
15,3,DS,4,2,3,3,QR,DEF S,33,19,4,DS,15,,,
16,2,4,OFF R,B,OFF S,14,OFF S,DS,T1,16,4,DS,16,,,
17,3,4,1,6,5,T1,T1,T1,INT T1,T2,F+X,1,17,,,
18,2,2,4,2,1,X,T2,T1,PI T1,24,DS,F-DS,18,,,
19,F+X,F+DS,DS,F+DS,F-3,TD,PI X,F+B,PI T1,T2,DS,19,19,,,
20,5,DEF R,DEF S,DEF S,2,T1,21,PI DS,DEF R,T2,T1,6,20,,,
21,1,-4,DEF R,2,,QT,12,12,29,17,13,,21,,,
22,(B),7,4,(B),(B),QR,QR,QR,30,TD,5,5,22,,,
23,-5,-4,-5,-5,DS,,QR,QR,31,11,DS,15,23,,,
24,(DS),(O),B,-4,(B),DS,QR,QR,QT,12,2,2,24,,,
25,-5,4,B,-6,3,QR,QR,17,INC,11,6,2,25,,,
26,1,OFF S,B,-5,(B),,QR,19,QT,13,5,16,26,,,
27,4,DEF S,OFF S,-5,2,QT,X,DS,TD,12,16,,27,,,
28,5,4,4,5,6,X,DEF R,INT DS,T1,44,22,10,28,,,
29,F-2,2,F+B,8,5,QR,INT DS,TD,24,TD,7,12,29,,,
30,B,7,1,OFF 5,6,INC,18,QR,26,15,8,4,30,,,
31,-4,(DS),12,1,6,INC,INC,INC,INC,13,4,12,31,,,
32,6,DS,3,3,(DS),INC,QR,INC,INC,12,11,2,32,,,
33,-5,B,(O),5,5,INC,INC,INC,INC,16,1,11,33,,,
34,B,-5,B,6,(DS),INC,QR,INC,QR,17,5,6,34,,,
35,3,B,-4,2,5,INC,INC,INC,QT,11,1,9,35,,,
36,-5,-5,-5,DS,(DS),INC,QR,INC,INC,10,DS,8,36,,,
37,B,-6,(DS),2,4,INC,QR,10,OFF S,10,2,5,37,,,
38,DS,1,(DS),B,1,INC,QR,13,INC,12,1,F-DS,38,,,
39,1,B*,B,1,5,INC,T1,OFF S,TD,T1,F+DS,T1,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,1,-1,(O),4,5,-1,3,DS,44,DS,50*,11,22,35,10
2,,-1,1,3,6,2,(O),3,DS,62,DEF R,40*,25,T2,NG,11
3,-2,,3,(O),3,INC,INC,INC,INC,66,OFF R,30*,F+3,3,34,12
4,-1,,,,6,,,,DS,67,17,DEF R,F-1,21,29,13
5,,F+DS,,F-2,,,,,INT 22,70,21,39*,21,DS,33,14
1,2,(O),2,4,1,2,QR,,,61,DS,27*,16,37,35,15
2,(O),3,3,(O),1,2,,QR,,65,T2,48,1,24,25,16
3,(O),(O),3,(O),5,2,,,QT,62,T2,50,T2,28,29,17
4,-1,-2,,,4,DS,QT,,QT,48,DS,51*,TD,TD,F-X,18
5,-1,-2,,,,INT-DS,(T1),QT,,55,TD,T2,T1,6,NG,19
1,(O),,(O),,-1,7,3,2,,65,F+X,OFF S,3,29,35,20
2,,(O),6,-1,(O),-1,3,2,,61,F+DS,38*,DEF R,,DS,21
3,,,(O),,1,2,7,6,INC,59,16,33*,6,16,DEF R,22
4,(O),,7,(O),8,,QT,,,62,26,35*,3,DEF R,X,23
5,,,F-DS,,F-DS,,QT,F+DS,,65,T2,47,5,4,35,24
1,-2,,,,2,,INC,INC,4,67,33,37*,13,,33,25
2,2,,,,2,8,2,INC,4,62,21,53,OFF R,OFF R,OFF S,26
3,2,-1,-2,-1,2,2,4,INC,INC,70,22,49,DS,F+X,OFF R,27
4,,,,,2,2,4,6,8,48,TD,42*,DS,F+DS,BK-X,28
5,,-2,,,2,INT 0,INT X,6,F+T1,55,DS,BK-X,X,37,T1,29
1,,,,,,DS,6,3,DS,70,19,43,T1,,35,30
2,,,,,,DS,4,INT X,INC,66,22,23*,11,22,21,31
3,,,,,2,3,4,3,INC,68,T1,36*,DS,21,33,32
4,DS,3,2,2,DS,X,,,INT T1,67,T1,37*,1,OFF R,35,33
5,DS,3,-19,2,DS,,,DS,INT  X,55,27,32*,,23,33,34
1,-2,,,,5,15,QR,,QT,61,31,32*,,21,31,35
2,,-2,,,5,15,,QR,QT,66,28,47,9,12,35,36
3,,,-3,4,F-3,,-18,,QT,49,T1,33*,T1,9,29,37
4,X,X,-19,(DS),5,QR,QT,QT,8,59,T2,45,2,TD,31,38
5,F-2,DS,-17,(T1),(DS),QT,INT DS,,F+X,74,DS,27*,T1,T2,35,39
