1973,Penn State,Nittany Lions,31,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,5,(DS),DS,1,DS,40,22,23,T2,TD,14,DS,10,,,
11,DEF R,,,DEF S,1,DEF R,INC,18,22,T1,4,DS,11,,,
12,(O),3,OFF S,3,DEF R,4,24,22,42,19,,DS,12,,,
13,OFF S,DEF R,DS,2,DS,X,INC,DEF S,24,T1,F+DS,12,13,,,
14,(O),4,4,(O),(DS),X,DEF S,INC,23,14,DS,,14,,,
15,2,OFF R,6,8,2,12,16,OFF S,31,19,5,DS,15,,,
16,4,5,DEF S,OFF S,2,21,OFF S,INC,40,23,2,DS,16,,,
17,4,,DS,9,DS,X,INC,27,34,34,3,14,17,,,
18,8,,3,3,F-DS,T1,INC,PI X,31,T2,4,F-DS,18,,,
19,F+DS,F+DS,F+B,F+B,F-DS,QT,T2,41,PI T1,TD,13,,19,,,
20,4,OFF S,3,6,,T1,PI DS,QT,23,T2,2,6,20,,,
21,2,DEF S,6,-2,(O),INC,33,21,32,18,2,4,21,,,
22,6,B,-3,-1,2,OFF R,INC,QR,INC,12,,DS,22,,,
23,(O),5,9,7,DS,INC,QR,INC,23,12,3,F-DS,23,,,
24,B,1,8,8,DS,INC,INC,QR,INC,14,2,5,24,,,
25,B,6,9,-3,4,INC,QR,INC,QR,12,4,6,25,,,
26,6,2,4,(B),4,INC,INC,25,INC,12,6,7,26,,,
27,1,4,8,(B),OFF S,INC,T1,INC,20,T1,5,11,27,,,
28,7,5,1,3,,INC,INC,T1,DEF R,T1,6,DS,28,,,
29,2,2,1,F+X,,INC,T1,INC,25,TD,14,DS,29,,,
30,-5,-9,3,1,4,T1,INC,24,31,15,6,12,30,,,
31,-6,(B),3,-1,4,INC,QR,INC,TD,11,5,3,31,,,
32,-4,B,5,5,4,QT,INC,15,INC,10,2,6,32,,,
33,-6,B,7,-1,-4,INC,8,INC,INC,13,,5,33,,,
34,-7,(B),8,4,-5,8,INC,13,QT,14,4,6,34,,,
35,-6,-5,B,(O),-6,INC,6,INC,INC,16,2,9,35,,,
36,-9,-4,5,4,B,,INC,7,INC,14,1,12,36,,,
37,-2,-6,4,9,DS,INC,7,INC,OFF S,10,5,8,37,,,
38,,,6,4,DS,22,INC,23,29,20,4,6,38,,,
39,,,(O),(O),2,INC,5,INC,INC,37,4,2,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,2,-1,(O),2,2,3,3,3,INC,59,DS,T1*,21,T1,OFF S,10
2,2,,2,(O),(O),3,3,INC,5,55,3,32*,T1,DS,DEF S,11
3,(O),,2,-1,-1,,5,3,5,59,DS,30*,OFFS,,DS,12
4,-2,,2,3,4,,5,3,5,66,15,OFF S,,,31,13
5,2,(DS),2,F+DS,4,INT 0,INT X,-5,DS,63,21,45,DS,X,28,14
1,(O),(O),(O),4,2,,,,QR,61,13,39*,T1,DEF R,35,15
2,(O),2,(O),3,(O),,,,,65,DS,DEF R,F-DS,DEF R,27,16
3,-1,2,3,(O),2,6,,,,75,7,T1*,T1,OFF R,35,17
4,,,3,-4,(O),,,,,55,F+X,BK-X,T2,3,35,18
5,,,3,,5,INT-3,,,,40,TD,50,TD,TD,BK-X,19
1,,(O),(O),,(O),INC,INC,2,,58,DEF R,49,F+X,13,42,20
2,-2,1,(O),,1,3,5,4,,59,11,35*,,DS,13,21
3,1,1,(O),4,2,1,5,4,INC,60,18,46,X,,14,22
4,(O),1,2,,-4,1,INT DS,4,5,68,24,40*,T1,T2,28,23
5,3,1,F+3,(O),4,DS,5,4,5,70,30,32*,10,T1,35,24
1,,,,,,3,4,INC,INC,67,26,35*,17,DS,15,25
2,,,,,,3,INC,QR,,63,20,38*,DEF R,,16,26
3,,,2,,2,,4,3,QR,65,OFF R,27*,4,F+DS,28,27
4,2,,-1,DS,2,,INT X,INC,10,55,13,43,T1,44,42,28
5,-1,,2,X,4,,5,5,,45,T2,30*,T1,51,36,29
1,,,,,,2,,2,INC,61,,34*,T1,22,23,30
2,,,,,,2,3,2,INC,64,22,44*,2,17,22,31
3,,,,,,4,,INC,10,68,24,42,6,,42,32
4,DS,DS,DS,DS,DS,4,INC,INT 2,INT T1,71,20,43,,T1,32,33
5,X,X,X,X,X,6,,INT X,INT T1,72,T1,45,16,23,42,34
1,-1,,,,1,4,QT,4,QT,75,T1,41,13,1,35,35
2,,,,,(O),6,-11,4,8,69,25,44,8,T1,28,36
3,,-2,,-2,1,6,,QT,3,66,21,42*,2,TD,27,37
4,,,(DS),-5,F-DS,DS,,QT,3,65,T1,49,19,,21,38
5,F-2,F,F-DS,,F-X,X,,QT,QT,50,X,34*,4,,30,39
