1974,Oklahoma,Sooners,31,3408058,16777215,c:\Mike\Football\Helmets\Oklahoma.bmp,OKH,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,OFF R,OFF R,DEF S,DEF R,OFF R,OFF S,F DS,OFF R,T2,25,T1,3,10,
11,B,OFF 5,OFF S,DEF S,DEF S,INC,PI DS,OFF S,OFF S,T2,F DS,4,11,
12,OFF 5,DEF 5,-3,2,F -2,INC,9,OFF S,36,26,2,6,12,
13,14,5,15,9,2,-2*,INC,8,INC,29,-2,-8,13,
14,3,(B),DEF S,-5,(B),DEF S,QR,DEF S,INC,T1,8,-14,14,
15,5,5,4,3,-4,18,QR,QR,QT,T1,-2,,15,
16,F -1,-2,-DS,2,-6,QR,QR,32,OFF R,26,33,F -DS,16,
17,-4,16,18,OFF S,OFF S,DEF S,OFF R,11,DEF R,37,25,-11,17,
18,DEF R,DEF R,OFF 5,OFF R,DEF R,DEF R,T2,DEF R,INT X,26,22,-2,18,
19,19,13,B,11,8,T2,QR,TD,PI X,38,T1,-6,19,
20,8,7,-2,2,13,,QR,QR,41,TD,19,-DS,20,
21,5,B,11,(B),6,INC,QR,QR,INT T1,22,4,-DS,21,
22,7,10,-3,-18,SOP,INC,DEF 5,QR,45,TD,7,-3,22,
23,3,-16,,-5,7,INC,QR,QR,18,TD,,14,23,
24,(B),-6,(B),(-1),1,INC,QR,QR,INC,21,13,-DS,24,
25,1,-4,2,-4,BLP,INC,QR,QR,13,22,-5,4,25,
26,-2,-11,7,9,BLP,,QR,OFF 5,44,TD,DS,DS,26,
27,6,6,10,B,14,-3,QR,QR,QT,26,11,-5,27,
28,12,3,F DS,2,2,DS,QR,QR,T2,21,3,-11,28,
29,DEF S,F -3,6,F 1,B,F -3,QR,F DS,QT,T1,-4,F -DS,29,
30,B,11,11,8,BLP,,QR,QR,TD,26,10,-7,30,
31,-8,2,4,5,-5,-1,QR,QR,INC,27,4,-10,31,
32,-7,4,2,,SOP,QR,QR,QR,INC,24,1,8,32,
33,-7,5,-7,6,BLP,,QR,QR,INC,34,1,-1,33,
34,-4,4,10,11,-6,INC,QR,QR,INC,26,4,8,34,
35,,3,-5,5,SOP,DEF 5,QR,QR,INC,21,4,3,35,
36,3,5,-4,17,-12,OFF R,QR,QR,INC,26,4,-5,36,
37,4,B,-6,11,BLP,2,QR,DEF 5,INC,T2,13,-8,37,
38,6,8,10,1,BLP,QR,OFF 5,QR,INC,24,-6,-7,38,
39,-1,2,B,-2,(B),,DEF R,QR,DEF S,33,B,-1,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-2,-2,-2,(-1),-3,-5,-3,-3,INC,61,33,DEF R,1,T1,OFF R,10,
2,-1,(-1),-1,(0),-3,INC,-3,-3,-2,44,15,OFF R,T2,T1,33,11,
3,(0),-1,(-1),-2,(0),-1,INC,INC,INC,52,DEF R,39,DEF R,TD,31,12,
4,-1,-2,-1,-2,-2,INC,INC,-2,-1,47,5,33*,DS,5,33,13,
5,F 1,-2,-2,-2,-1,-1,INC,QR,-1,54,OFF R,45,-2,X,NG,14,
1,(0),(-1),-1,-2,-2,-4,-1,-4,-3,55,T1,41*,9,X,18,15,
2,(-1),-1,-1,(-1),-2,-1,-1,-1,-1,50,F X,42*,21,F DS,33,16,
3,-2,(0),(-1),-2,(0),-2,-1,-3,QT,55,25,T1*,X,DEF R,DEF S,17,
4,-2,-2,-1,-2,-2,QT,QR,-3,INC,65,28,T2,12,18,DEF R,18,
5,-2,F ,-3,-5,-2,-1,INC,QR,-1,65,TD,BK -X,F -DS,11,21,19,
1,-1,-1,(0),-2,(-1),-5,-3,-2,-1,69,21,58,T2,19,T1,20,
2,-1,-1,(-2),-2,-2,-5,-3,-4,-1,57,DS,39*,T1,OFF R,25,21,
3,(-1),(-1),-2,-2,(-2),QT,INC,INC,QT,57,39,28*,X,OFF R,26,22,
4,-1,-1,-2,(-2),-2,INT 2,INC,-1,INC,55,22,40,DS,,33,23,
5,-1,-1,F -3,-2,-2,INT -DS,INC,-1,INC,60,41,41*,4,DS,21,24,
1,-1,-1,-1,-1,-2,-5,-3,-4,-2,49,17,34*,OFF R,T1,NG,25,
2,-1,-1,-1,-2,-2,-4,INC,INC,-1,75,14,25*,14,2,21,26,
3,-1,-1,(0),(0),(0),-2,-3,INC,QT,60,43,T2,40,TD,23,27,
4,-2,-1,-2,-2,-2,INC,QT,INC,INC,50,22,52,TD,X,BK -X,28,
5,-2,-1,-1,-1,-2,QT,INT DS,INT DS,QT,60,,45*,F DS,11,27,29,
1,-1,-2,-1,-1,-2,-1,-1,-2,INC,57,18,48*,4,-2,28,30,
2,-1,-1,-1,-1,-2,-1,-1,-1,-10,58,T1,44*,6,T1,33,31,
3,-1,-1,-2,-1,-2,-3,INC,INC,QT,66,26,54*,T1,,31,32,
4,(-2),(-1),-1,-2,-2,-1,INC,-1,INC,62,25,T1*,,,27,33,
5,-1,-3,-2,-1,-2,-1,INC,INT X,INT T1,67,23,35,,,33,34,
1,1,(-2),1,1,1,8,,4,INC,72,25,40,,,33,35,
2,1,1,(-3),1,1,,,1,QT,67,19,40*,3,T2,21,36,
3,(-2),1,1,(-3),(-4),,,INC,9,69,T1,44*,12,TD,DS,37,
4,DS,F -2,DS,DS,DS,QT,(T1),QT,2,70,T2,46*,44,12,33,38,
5,X,X,X,F -DS,X,INT -3,QR,QR,INC,45,35,40,5,T2,T1,39,
