1981,Clemson,Tigers,30,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,,,,5,,DEF S,PI DS,PI X,OFF R,T1,1,11,10,,,
11,DEF S,OFF S,,,9,T1,QR,QR,PI X,T1,5,12,11,,,
12,OFF S,DEF S,OFF R,DEF R,2,X,DEF S,OFF S,QR,23,2,13,12,,,
13,,,DEF R,,3,QR,QR,QR,QT,TD,5,2,13,,,
14,,,,9,,QR,QR,QR,40,21,1,14,14,,,
15,5,B,3,OFF R,DEF S,X,QR,DEF R,DEF S,22,,12,15,,,
16,3,10,,,OFF S,OFF R,OFF S,T1,OFF S,28,DS,1,16,,,
17,F,F+DS,F-3,,BLP,QT,QR,INT X,TD,T2,F-3,F-DS,17,,,
18,B,3,B,F+X,F-4,QR,QR,QR,QR,24,1,F-DS,18,,,
19,B,DS,DS,B,SOP,F,F+X,F+DS,QR,T3,X,X,19,,,
20,,,2,B,,QT,14,QR,QT,24,3,2,20,,,
21,4,,1,,,QT,QR,QR,X,21,11,9,21,,,
22,(DS),,4,6,BLP,3,10,X,QT,11,1,,22,,,
23,5,4,8,4,SOP,,15,12,QT,16,5,6,23,,,
24,(DS),8,1,7,BLP,5,QR,11,INC,14,1,4,24,,,
25,2,3,5,8,SOP,DS,QR,X,QT,15,5,6,25,,,
26,5,8,4,4,2,DS,X,11,32,10,3,2,26,,,
27,4,6,4,2,,QR,QR,10,T1,11,4,8,27,,,
28,1,4,10,6,SOP,7,7,15,39,20,2,8,28,,,
29,3,,3,3,SOP,6,T1,T1,T2,43,T1,X,29,,,
30,8,3,3,B,SOP,9,11,QR,X,19,2,3,30,,,
31,4,7,9,5,7,9,15,QR,INC,17,4,8,31,,,
32,B,6,7,6,9,X,INC,INC,INC,14,,7,32,,,
33,5,2,B,3,5,INC,INC,INC,INC,11,8,,33,,,
34,4,B,B,8,6,INC,QR,QR,21,10,X,6,34,,,
35,9,B,4,4,3,INC,QR,INC,INC,13,11,8,35,,,
36,5,3,6,4,3,INC,INC,QR,INC,17,7,2,36,,,
37,4,5,5,4,8,QT,QR,14,QT,18,6,1,37,,,
38,(O),5,,,BLP,DS,19,QR,T1,21,13,4,38,,,
39,DS,3,,8,1,QT,QR,QR,X,T1,6,DS,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(O),(O),,(O),(O),1,INC,,10,74,19,64,T1,F+DS,38,10
2,,3,,(O),,1,INC,INC,10,72,29,39*,24,X,37,11
3,,3,-1,-1,,1,INC,,10,70,16,DEF S,1,3,24,12
4,,-2,,,,1,,,INT T1,53,OFF R,49*,T1,OFF R,28,13
5,2,-1,F+DS,2,,F-1,INT 3,INT DS,QT,65,14,46,,X,15,14
1,(O),(O),(O),(O),(O),,,,,59,16,44,OFF R,DEF R,DS,15
2,(O),3,,,,,,,,61,12,OFF S,,,38,16
3,(O),3,,,,,,,,75,T1,BK-X,43,T1,37,17
4,,(O),-2,-2,-1,,,,,73,T1,T2,T2,T2,38,18
5,F-2,-2,(O),-1,,QT,F+X,QT,QT,69,F+DS,34*,F+DS,TD,BK-X,19
1,(O),-1,(O),,,-1,,,10,T2,30,T1*,4,DS,35,20
2,,2,(O),,,(O),,,INC,68,23,42*,,4,25,21
3,,2,-1,-1,(O),(O),INC,,DS,66,T1,57,X,DS,19,22
4,,-1,2,,,,,,INT T1,58,27,46,DS,X,31,23
5,2,(O),DS,2,F-3,,INT DS,INT X,X,71,17,51,3,T1,26,24
1,(O),(O),-1,-1,,,,INC,INC,59,15,46,5,6,35,25
2,,2,,,-1,,,QR,10,53,18,53,DEF 15,12,24,26
3,,2,,,,2,,QR,12,52,DEF R,47,T1,,DEF R,27
4,,(O),,,,4,INC,,INT 21,69,24,50,,1,OFF S,28
5,,-1,,,,INT 0,INT DS,INT 16,QT,73,T1,47*,T1,DS,NG,29
1,-1,(O),-2,-2,-1,,,,INC,54,28,33*,17,,36,30
2,,2,,,,,,,INC,55,22,43,X,2,35,31
3,,2,,,,,,,INC,63,22,38*,2,DS,29,32
4,,(O),,,,,INT 8,INT 12,INT T1,66,20,52,3,,38,33
5,,(O),,,,INC,INC,INC,8,64,19,36*,,DS,35,34
1,,-2,,,(O),X,,,QT,65,24,39*,DS,,30,35
2,,,,,(O),X,QT,,,60,19,T1*,DS,,37,36
3,(O),,-3,,(O),X,,QT,,69,24,43*,DS,X,27,37
4,6,F-2,F-DS,DS,,QT,,,QT,59,DS,39*,19,OFF 15,38,38
5,F+DS,6,(DS),F-DS,F-X,DS,INT 6,QT,INT 19,64,18,55,4,DS,35,39
