1983,Auburn,Tigers,29,13310,4203031,c:\Mike\Football\Helmets\Auburn.bmp,AU,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,,6,7,DEF S,SOP,X,19,24,T2,16,3,-8,10,
11,OFF R,(B),4,B,BLP,6,INC,OFF S,INC,15,DS,-DS,11,
12,11,OFF S,DEF S,-3,5,5,INC,INC,F X,TD,-1,-8,12,
13,4,B,(B),4,OFF S,3,INC,PI X,PI 18,TD,DS,-7,13,
14,DEF S,(1),OFF S,(B),(0),INC,2,INC,INC,T1,15,F -DS,14,
15,9,DEF R,6,OFF S,DEF R,OFF S,DEF R,7,12,T2,F -2,-DS,15,
16,(B),7,4,(B),4,-3,INC,INC,INC,14,DS,-DS,16,
17,F 2,(B),DS,F -1,7,12,31,8,QT,12,DS,-3,17,
18,4,6,F ,OFF S,(0),18,T2,T2,INT T1,21,DS,-11,18,
19,-3,-3,F -X,-5,X,PI ,PI DS,QR,TD,TD,F -DS,F -X,19,
20,(1),4,(1),(0),,-1,8,14,21,T2,X,-7,20,
21,6,5,(1),(3),6,OFF S,(4),(10),(12),T1,4,-3,21,
22,4,(0),2,14,5,1,(8),(4),(X),14,7,-2,22,
23,(0),1,7,4,,2,INC,INC,INC,13,1,-3,23,
24,5,11,4,4,B,1,INC,INC,INC,12,,-8,24,
25,5,3,B,6,B,2,INC,INC,INC,12,3,-7,25,
26,5,(0),(0),6,B,1,(2),(X),(12),16,2,-1,26,
27,6,3,-4,(1),(1),2,3,14,(11),TD,5,-10,27,
28,5,F -3,4,(0),(0),7,7,21,(12),TD,8,-14,28,
29,5,(0),-DS,7,4,34,11,28,19,T2,22,-12,29,
30,5,(0),(1),10,3,1,(4),(8),(16),T1,13,-8,30,
31,5,6,2,4,7,1,INC,INC,INC,16,7,,31,
32,5,8,6,6,8,14,QR,(DS),INC,14,6,-11,32,
33,(1),5,B,4,(0),INC,QR,QR,INC,11,DS,-5,33,
34,(2),5,B,6,BLP,INC,QR,QR,INC,12,2,-7,34,
35,B,B,4,B,SOP,INC,QR,QR,INC,11,7,DS,35,
36,7,5,14,5,7,INC,(DS),INC,INC,14,2,X,36,
37,(2),5,3,(0),9,INC,INC,INC,INC,16,8,-13,37,
38,5,9,-2,5,4,DS,(X),(X),QT,T1,3,-7,38,
39,5,5,B,-3,4,DS,29,27,QT,TD,21,-4,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-2,-2,-2,-2,-1,,,,,65,T1,T2,17,T2,OFF S,10,
2,-2,-2,-2,-2,-1,,,INC,,70,18,OFF S,14,T1,37,11,
3,(0),(0),(0),(0),-1,2,INC,INC,,68,26,T1*,5,F -DS,12,12,
4,,,,,,DS,INC,INC,INT T1,55,OFF R,49,13,TD,NG,13,
5,,,,F ,,-3,INC,INC,INC,67,20,33,11,OFF R,38,14,
1,-2,-2,-2,-2,(0),,,,,59,14,43,12,DEF R,DEF S,15,
2,(0),-3,(0),(0),(0),,,,,70,DEF R,41,8,DS,NG,16,
3,(-1),(0),-3,,(0),,QR,QR,,72,T2,T1*,OFF S,T2,39,17,
4,(0),(0),-3,,-1,(X),QR,QR,(T2),75,F X,50,DEF S,TD,BK -X,18,
5,F -1,(0),-3,,-1,(T1),X,X,INC,65,TD,BK -X,T2,T2,39,19,
1,(0),(0),(0),,-2,(0),,,INC,66,28,40*,20,35,12,20,
2,-2,-2,(0),,-2,-1,,QR,,68,25,42,4,43,36,21,
3,-2,-2,(0),(0),-2,-1,QR,,,51,12,34*,,T2,21,22,
4,-2,-2,,,-2,,,,INC,65,X,48,7,2,23,23,
5,-2,-2,,,-2,,(X),(X),INT T1,60,17,58,12,,39,24,
1,,,,,,2,INC,,,67,12,39*,6,1,33,25,
2,,,,,,2,INC,,,55,20,44,DS,DS,37,26,
3,,,,,,2,3,INC,INC,55,25,DEF R,16,35,26,27,
4,(3),(3),(3),(3),(3),INC,3,INC,INC,67,24,50,TD,4,NG,28,
5,(3),(3),(3),(3),(3),INC,INC,(X),INT T1,70,DS,T1*,F X,13,17,29,
1,,,,,,,,,INC,58,T1,37*,21,DS,39,30,
2,,,,,,,,,INC,55,45,38*,6,X,28,31,
3,,,,,,,-3,(DS),INC,65,21,45,X,27,31,32,
4,(3),(3),(3),(3),(3),(T1),(DS),(DS),INT T1,64,18,39,3,39,33,33,
5,(3),(3),(3),B,(3),(T1),INC,INC,,65,23,41,2,12,39,34,
1,,,,,(0),4,,,QT,59,17,39*,,,25,35,
2,,,,,(0),6,,QT,,62,T1,43,DS,DS,39,36,
3,-4,(0),(-3),(-2),,X,QT,,,72,T1,35*,12,DS,T1,37,
4,DS,DS,DS,X,-DS,QT,(X),(X),QT,73,21,45,13,X,T1,38,
5,(-4),F -3,F -DS,(-4),F -DS,INT -DS,(T1),(T1),(TD),55,22,35*,T1,,39,39,
