1983,Nebraska,Cornhuskers,33,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,6,11,3,3,3,26,F+X,PI X,F+T1,TD,41,DS,10,,,
11,7,2,17,B,,X,X,6,51,T2,21,9,11,,,
12,1,1,DEF R,OFF R,,F+DS,DS,14,35,T1,F+DS,F-DS,12,,,
13,10,3,2,6,7,6,DS,DEF S,DEF S,13,4,3,13,,,
14,DEF S,OFF S,B,5,DEF S,DEF S,DS,OFF S,34,T1,7,X,14,,,
15,OFF S,DEF S,7,5,OFF S,9,DEF S,13,35,T1,8,DS,15,,,
16,2,F+DS,OFF R,DEF R,7,15,11,18,41,F+T1,2,,16,,,
17,F,7,7,8,F-DS,18,T2,F+X,46,T2,T1,12,17,,,
18,2,5,4,8,4,T2,X,31,TD,TD,B,B,18,,,
19,3,3,F-DS,F,F+X,TD,X,T2,PI T1,TD,45,39,19,,,
20,3,,10,B,1,3,7,14,33,T1,5,12,20,,,
21,B,7,2,3,BLP,2,1,8,OFF S,TD,5,10,21,,,
22,3,6,7,B,3,1,INC,DS,INC,10,,3,22,,,
23,6,8,,5,5,INC,INC,INC,INC,16,,DS,23,,,
24,6,7,9,B,B,INC,QR,9,INC,19,4,DS,24,,,
25,2,9,2,3,B,INC,QR,INC,INC,14,3,DS,25,,,
26,1,,,B,7,INC,QR,11,INC,18,2,2,26,,,
27,9,,,7,2,5,5,12,35,T1,6,11,27,,,
28,1,10,F-3,F+2,8,5,PI DS,15,TD,T2,5,X,28,,,
29,9,5,6,3,3,34,TD,TD,(T2),TD,T1,F-X,29,,,
30,7,3,7,1,SOP,OFF S,4,X,T1,T2,6,8,30,,,
31,8,4,2,2,,DS,QR,INC,X,12,4,9,31,,,
32,7,5,2,3,B,,QR,QR,QT,14,1,5,32,,,
33,B,7,B,2,B,,QR,INC,QT,11,B,2,33,,,
34,B,B,B,4,SOP,,QR,INC,INC,T1,DS,DS,34,,,
35,6,B,B,,BLP,DS,QR,INC,INC,T1,X,8,35,,,
36,9,B,2,8,B,1,QR,INC,INC,13,2,7,36,,,
37,8,7,3,6,4,3,QR,QR,INC,15,3,5,37,,,
38,5,,4,10,4,DS,7,INC,INC,T1,19,4,38,,,
39,5,2,5,,,2,11,15,52,TD,T1,4,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(O),(O),-1,(O),,,,,INC,66,28,BK-X,F-DS,34,27,10
2,,-2,,(O),(O),,,INC,,59,24,DEF S,F-2,TD,DEF S,11
3,,,,,(O),,INC,,,71,F+X,40,T1,OFF R,29,12
4,,,,,,INC,QT,,(T2),73,2,T1*,2,DEF R,19,13
5,,,,F+2,,INT-2,INT DS,INT X,INT T1,68,T1,OFF S,4,OFF R,OFF S,14
1,(O),(O),(O),-1,(O),,,,,58,DEF R,61,DEF R,X,24,15
2,(O),3,,2,3,,,,,60,T1,47*,42,T1,25,16
3,4,3,,2,3,DS,,,,72,X,48,T1,DEF R,DEF R,17
4,-2,3,,2,3,DS,-3,,,68,X,33*,DS,F+T1,30,18
5,F,3,,2,3,INT-2,-3,,(TD),56,T2,F-X,T2,T2,31,19
1,,(O),4,(O),(O),(O),,,,72,OFF R,37*,TD,F+DS,28,20
2,,,(O),,3,-1,,,,68,T1,34*,DS,21,DS,21
3,(O),,(O),,3,(O),,,INC,T2,16,42,X,24,13,22
4,,,(O),,3,,INC,,,54,20,44,11,DS,14,23
5,,,F-DS,,-3,INT-7,INT 5,INT 12,INT 22,66,13,42*,1,,31,24
1,2,2,2,2,2,INC,INC,INC,,63,T1,45,4,1,28,25
2,2,2,2,2,2,,,,,65,T1,38*,OFF R,TD,30,26
3,2,2,2,2,(O),,,,INC,75,T1,50,13,31,NG,27
4,3,3,3,3,3,,,INC,,73,16,35*,41,2,F-DS,28
5,3,3,3,3,(O),QT,INT 8,INT 15,INT T1,74,X,31*,44,,BK-X,29
1,2,2,2,2,2,,,,INC,60,21,34*,X,T2,30,30
2,2,2,2,2,2,,,,INC,61,DS,46,X,T1,NG,31
3,2,2,2,2,(O),,INC,INC,INC,55,35,39*,,,21,32
4,3,3,3,3,3,(T1),QR,INC,,65,21,44,2,X,30,33
5,3,3,3,3,(O),-45,QR,INC,INT 44,51,T1,41*,DS,T1,31,34
1,1,-2,1,,DS,X,,,QT,55,16,40*,,T1,18,35
2,,,,2,DS,22,,,,65,21,T2,1,,31,36
3,-17,,-3,-4,DS,22,QT,QT,,70,14,T1*,2,T2,NG,37
4,,(T1),DS,(X),F-DS,X,,(T1),INT T1,60,10,38*,DS,DS,28,38
5,F-2,F-3,F-DS,DS,(DS),INT-DS,,INT X,(T3),74,23,31*,21,DS,31,39
