1986,Oklahoma,Sooners,33,3408058,16777215,c:\Mike\Football\Helmets\Oklahoma.bmp,OKH,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,OFF R,B,OFF R,B,DEF R,6,QT,QT,T1,TD,F ,T1,10,
11,6,OFF R,B,OFF S,OFF R,DEF S,OFF S,QT,T2,15,-DS,-5,11,
12,7,5,7,2,SOP,7,QT,OFF R,OFF 10,23,-DS,-3,12,
13,1,5,3,DS,BLP,28,QR,QR,OFF R,29,,-9,13,
14,7,3,4,2,SOP,QR,QR,QR,32,12,-4,-2,14,
15,1,4,1,1,B,QR,QR,QR,INC,10,-3,-8,15,
16,DEF R,9,DEF R,DEF R,5,OFF R,QR,QT,INC,27,-5,-5,16,
17,7,7,F -5,F 3,DEF R,OFF S,DEF R,QR,DEF R,24,F X,F -DS,17,
18,DEF S,DEF S,F -5,DEF R,B,T2,T2,B,PI X,47,T1,F -DS,18,
19,1,1,1,DS,OFF R,F -X,F X,TD,TD,TD,T2,B,19,
20,7,1,5,1,3,DS,QR,QR,TD,17,4,F -3,20,
21,4,5,5,1,,QR,QR,QR,52,T2,8,,21,
22,,(0),7,DS,BLP,QR,QR,QR,35,15,9,-7,22,
23,6,1,1,DS,2,INC,QR,QR,T1,14,2,-8,23,
24,5,B,1,B,B,INC,QR,QR,X,18,,-12,24,
25,B,,8,1,BLP,INC,QR,QR,INC,11,5,-10,25,
26,6,4,B,1,BLP,INC,QR,QR,INC,22,2,-12,26,
27,4,DEF R,4,DS,B,X,QR,DEF S,INT 29,21,-DS,-5,27,
28,F -1,F DS,-DS,DS,F -DS,T2,QR,QR,INT 14,11,9,-4,28,
29,-1,4,6,1,1,INT -6,QR,QR,INT T1,T2,8,-X,29,
30,10,8,5,1,6,INC,QR,QR,INC,31,4,-3,30,
31,8,-1,2,DS,1,INC,QR,QR,INC,17,8,-6,31,
32,9,2,6,DS,B,INC,QR,QR,INC,16,5,-4,32,
33,7,8,7,DS,SOP,QT,QR,QR,INC,13,B,DS,33,
34,B,B,B,B,BLP,QT,QR,QR,INC,15,X,X,34,
35,B,B,B,DS,SOP,QT,QR,QR,INC,T1,DS,DS,35,
36,5,6,4,DS,1,QR,QR,QR,INC,10,1,-DS,36,
37,5,2,1,1,7,QR,QR,QR,INT T1,23,3,-4,37,
38,,(0),-1,1,6,QR,QR,QR,37,34,6,-7,38,
39,-1,10,,DS,B,37,QR,QR,T2,24,-3,-8,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(0),(0),(0),(0),(0),,,INC,-12,57,13,DEF R,-3,TD,OFF S,10,
2,-2,(0),-2,-2,-4,,,INC,QT,70,DEF R,OFF R,DEF R,T2,31,11,
3,-2,(0),-2,-2,-4,-3,INC,INC,-12,63,OFF R,32*,OFF R,OFF R,NG,12,
4,-2,-2,-2,-3,-4,-5,,,INT 28,65,21,T2,26,DEF R,31,13,
5,-2,-2,-2,-3,(-DS),QT,INT 6,INT 12,,70,25,55,11,X,26,14,
1,(0),(0),(0),(0),(0),,,,,63,22,36*,DS,,33,15,
2,(0),-3,-3,-3,-4,,,,,72,21,44,T1,OFF 15,DEF R,16,
3,(0),-3,-3,-2,-2,,,,,54,F X,48,F 3,T2,33,17,
4,-3,-3,-3,-2,-2,-3,,,,62,11,75,T2,F X,26,18,
5,-3,F ,-3,F -3,(DS),QT,,,QT,60,TD,BK -X,TD,TD,BK -X,19,
1,(0),(0),(0),(0),(0),(0),,,-10,69,15,39*,17,,26,20,
2,-2,-2,(0),-2,(0),(0),,,QT,64,19,38*,X,,31,21,
3,-2,-2,(0),-2,-4,(0),INC,INC,-10,57,T2,42,6,T2,27,22,
4,-1,-1,-4,-2,-4,,,,INT T1,56,,52,3,X,22,23,
5,-1,-1,-4,-2,F -3,,INT 13,INT 15,,68,16,37*,4,12,27,24,
1,(0),(0),(0),(0),(0),,INC,,-10,73,X,36*,8,1,X,25,
2,-2,-2,-2,-2,-2,,INC,,QT,66,25,38*,X,6,21,26,
3,-2,-2,-2,-2,-2,-3,INC,INC,-10,63,16,T1*,T1,,27,27,
4,-2,-2,-2,-2,-2,-3,,,INT T1,54,61,55,TD,-3,33,28,
5,-2,-2,-2,-2,4,INT 1,,,,62,DS,48,DS,T2,32,29,
1,-3,-3,-3,-3,-5,-5,-5,-5,INC,64,22,46*,T1,3,X,30,
2,,,,,,,,,QT,57,26,55,17,,21,31,
3,,,,,,,,,INC,72,17,41*,,35,T1,32,
4,-3,-3,-3,-3,-5,,,,INC,60,15,37*,12,,33,33,
5,-2,-2,-2,-2,-2,-5,INC,INT DS,,64,14,49,15,13,27,34,
1,,,,(0),,,QT,QT,QT,64,17,44*,13,1,23,35,
2,-4,-2,-2,(0),(0),,,,-11,69,23,35*,,X,33,36,
3,-5,-5,-6,(-3),(0),,,,-11,75,24,46,11,,20,37,
4,-2,(-3),(-DS),-4,-5,,,,INT T1,60,18,34*,,19,26,38,
5,F ,F -3,F -DS,-2,INT ,QT,,INT X,,63,T1,66,OFF R,,24,39,
