1986,Penn State,Nittany Lions,29,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,7,10,7,4,10,DS,PI DS,PI X,PI T1,28,5,F-DS,10,,,
11,7,6,4,6,3,DS,OFF S,18,37,49,13,DS,11,,,
12,OFF R,3,9,1,DEF R,DEF S,5,10,29,27,7,13,12,,,
13,5,4,5,8,4,DS,8,18,31,26,1,9,13,,,
14,4,DEF S,DEF R,OFF S,4,DS,7,DEF S,22,19,5,,14,,,
15,DEF S,5,OFF S,DEF S,,OFF S,16,16,DEF R,17,4,,15,,,
16,3,OFF R,1,1,OFF R,9,OFF R,OFF S,OFF R,35,14,17,16,,,
17,10,OFF 5,5,1,6,7,5,11,30,T2,2,5,17,,,
18,8,B,6,,8,11,13,12,TD,29,,11,18,,,
19,F-1,F+3,F-3,,F,14,5,14,34,TD,F+DS,X,19,,,
20,2,1,10,7,,,2,8,11,25,DS,,20,,,
21,1,(O),1,7,BLP,3,8,9,24,T1,2,7,21,,,
22,(O),8,2,6,BLP,,5,X,X,12,6,4,22,,,
23,1,7,5,4,4,24,QR,QR,X,16,4,12,23,,,
24,2,,5,8,6,X,QR,7,X,15,1,9,24,,,
25,7,,B,,1,X,QR,14,INC,14,7,10,25,,,
26,(O),-1,B,,SOP,,9,16,QT,12,,13,26,,,
27,1,,B,,SOP,9,12,15,INC,26,DS,6,27,,,
28,6,6,B,B,3,,9,11,INC,37,DS,8,28,,,
29,2,2,9,F+B,2,T1,T1,T1,INC,40,8,2,29,,,
30,4,7,B,5,5,,13,11,INC,28,2,6,30,,,
31,5,6,5,8,7,4,QR,QR,INC,17,7,11,31,,,
32,7,7,1,5,BLP,INC,INC,INC,INC,14,6,,32,,,
33,6,4,B,B,6,INC,INC,INC,INC,12,4,6,33,,,
34,B,(O),(O),B,SOP,INC,INC,INC,X,10,9,4,34,,,
35,6,B,6,B,BLP,INC,INC,INC,INC,11,,DS,35,,,
36,7,B,(O),(O),6,INC,INC,INC,INC,15,2,DS,36,,,
37,4,7,(O),(O),1,4,X,11,32,20,8,,37,,,
38,7,5,2,(O),5,DS,QR,22,21,25,,12,38,,,
39,3,7,(O),7,(O),,6,4,36,TD,10,7,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(O),(O),(O),(O),(O),,,(O),INC,73,21,X*,19,T3,32,10
2,2,(O),2,3,4,,,-1,,65,F+X,41*,12,DS,32,11
3,2,(O),2,3,4,,,INC,,75,T1,48,21,OFF 15,DEF S,12
4,,,,,4,INT 1,QT,INT DS,INT T1,72,DEF R,39*,,1,32,13
5,-1,,DS,5,INT 0,-3,INT DS,-2,-26,66,24,50,11,7,12,14
1,(O),(O),(O),(O),(O),,,,,53,OFF R,44,15,2,32,15
2,(O),3,2,(O),4,,,,,56,29,37*,6,X,OFF S,16
3,(O),3,2,(O),4,,,,,68,TD,35*,OFF 15,F+T1,30,17
4,2,-1,3,2,4,X,X,X,INC,59,25,33*,DS,F,BK-X,18
5,2,-2,-3,2,,QT,X,QT,QT,72,T2,BK-X,F-DS,TD,F-X,19
1,(O),(O),(O),(O),2,(O),,,INC,T2,17,OFF S,23,T1,12,20
2,,,(O),,(O),(O),,,7,58,36,51,OFF R,OFF R,32,21
3,,,(O),,(O),(O),,,7,63,T2,32*,,1,15,22
4,,,3,,-2,,INC,INT X,INT 31,60,24,41,11,30,15,23
5,,,3,,F-DS,,,,,64,T1,44,7,38,32,24
1,(O),2,(O),(O),1,2,(O),,,55,12,40,X,33,17,25
2,,,,,,,INC,INC,INC,65,,52,3,T2,32,26
3,,,,,,,INC,,,70,33,47,8,,18,27
4,1,1,1,1,1,,INT 7,,INT T1,68,2,DEF R,26,4,36,28
5,1,1,1,1,1,QT,,,,71,T2,34*,14,DS,13,29
1,(O),2,(O),(O),1,5,,,INC,60,21,54,2,67,29,30
2,,,,,,,,-9,INC,51,28,47,11,9,X,31
3,,,,,,,QR,,INC,61,23,49,,,36,32
4,1,1,1,1,1,,QR,INC,,68,21,39,15,2,32,33
5,1,1,1,1,1,,QR,,,63,8,38*,,,32,34
1,(O),,,,1,X,,QT,QT,52,15,39,,14,T1,35
2,,,,,3,8,QR,,,65,16,39,,DEF R,14,36
3,,-2,-5,-4,-2,DS,QR,,,52,X,40*,,TD,17,37
4,16,12,(DS),15,INT 0,T1,QT,QT,,55,31,45,DEF R,19,12,38
5,F,F-2,F-DS,F-4,(DS),INT-1,INT DS,QT,INT X,66,21,T1*,9,,32,39
