1993,Auburn,Tigers,31,13310,4203031,c:\Mike\Football\Helmets\Auburn.bmp,AU,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,B,B,1,10,BLP,INT 2,INC,INC,INT T1,TD,-DS*,-14,10,
11,DEF S,2,5,3,,INC,14,X,T1*,17,3,-1,11,
12,6,9,4,3,,OFF R,12,13,T1*,10,-DS,-5,12,
13,,-3,-4,-3,DEF R,3,OFF S,21,X,13,,-3,13,
14,2,DEF R,DEF S,OFF S,4,-2,11,DS,DEF S,17,4,-11,14,
15,-2,OFF R,OFF S,DEF S,2,13,DS,DEF S,OFF S,13,DS,-13,15,
16,-1,11,,6,OFF R,DEF S,DEF S,OFF R,44,11,2,-11,16,
17,OFF R,,4,7,2,13,X,T1,T1*,T1*,3,-3,17,
18,DS,7,-DS,5,B,51,DS,16,T2,T2,4,-12,18,
19,-DS,6,-DS,-DS,SOP,DEF R,PI DS,PI X,PI T1,T2,X*,X,19,
20,8,2,-3,9,BLP,F -2,DS,DS,T1*,T2*,DS*,-DS,20,
21,1,,9,,5,DS,5,DS,27,14,1,DS,21,
22,7,-3,-2,1,7,X,DS,DS,32,T1*,DS,-DS,22,
23,4,-1,3,3,-1,DS,QR,QR,X,16,X*,DS,23,
24,4,2,1,4,1,QT,QR,QR,15,13,-2,-3,24,
25,5,1,9,6,7,X,QR,QR,11,14*,-DS,-2,25,
26,7,6,5,3,BLP,3,QR,DS,19,T1*,DS*,-DS,26,
27,9,8,11,2,BLP,4,15,DS,QT,18*,1,,27,
28,7,5,7,11,,DS,16,QR,34,T1*,4,-4,28,
29,F -2,F 1,F X,F DS,-DS,T1,T1*,10,TD,43,16*,,29,
30,4,6,B,2,SOP,X,17,12,37*,12,DS*,-14,30,
31,6,5,1,4,DS,-1,6,7,INC,19,5,-1,31,
32,7,6,5,4,BLP,X,3,INC,INC,15,3,-6,32,
33,3,7,6,10,BLP,-2,INC,X,INC,12,1,DS*,33,
34,B,B,3,2,SOP,INC,INC,INC,INC,10,3,-DS,34,
35,7,6,B,B,SOP,INC,INC,INC,INC,11,,,35,
36,2,4,4,8,DS,5,INC,INC,INC,16,2,-5,36,
37,5,B,2,B,BLP,DS,6,11,19,20,4,F -DS,37,
38,B,6,11,3,-2,5,12,19,QT,14,DS,-15,38,
39,-3,-2,-DS,-2,4,-DS,14,4,T1,33,F X,-2,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,(0),,(0),-1,-1,-1,INC,INC,65,T1,OFF S,-DS,F -DS,29,10,
2,,-3,,(0),-1,-1,-1,INC,,73,F X,55,T1,T1,33,11,
3,-3,-3,(-1),(0),-1,-1,INC,INC,,71,23,39,OFF R,24,NG,12,
4,,-3,,,,QR,,,,52,21,47,X,T1,26,13,
5,DS,DS,DS,DS,X,INC,QR,,QR,66,14,42,21,OFF R,24,14,
1,(0),(0),-3,-3,(0),INC,,,,57,12,48,22,T1,22,15,
2,(0),-3,(0),-3,-3,,,,,70,15,39,X,DS,33,16,
3,-1,-3,-3,(-1),(0),,,,,73,12,30*,T1,X,NG,17,
4,-1,-3,-1,-1,-1,DS,DS,DS,-53,65,27,T1*,T1,TD,33,18,
5,-1,-3,-1,-1,-3,(T1),-47,(T1),(T2),65,TD,T2,DS,T2,16,19,
1,,-3,(0),,,INC,INC,INC,INC,63,T1,53,DS,T1,27,20,
2,,-3,(0),,,-DS,,INC,,55,OFF R,41,T1,DS,22,21,
3,-1,-3,(-1),-1,(-1),-2,,,,52,DS,35*,-1,X,10,22,
4,,-3,,,,-2,,,,50,T1,50,1,TD,14,23,
5,,-3,,,,-2,QR,,,68,,40,DS,T1,11,24,
1,,-3,,,,-2,INC,,INC,59,23,45,13,DEF R,21,25,
2,,-3,,,,-2,INC,,,67,T1,DEF S,DS,DS,33,26,
3,,-3,,,,-2,INC,INC,,51,DEF R,T1*,DEF R,T1,OFF S,27,
4,,-3,,,,-2,,,,54,T1,BK -X,F X,X,DEF R,28,
5,,-3,,,,INC,,-5,,47,11,50,4,DS,BK -X,29,
1,-6,-3,-6,-6,-6,-5,QR,QR,INC,54,X,T2,X,T2,21,30,
2,-6,-3,-6,-6,-6,-5,DS,DS,INC,66,20,43,1,3,22,31,
3,,-3,,,,DS,,,INC,61,21,52,12,6,24,32,
4,X,X,X,X,,DS,INC,INC,,59,19,54,10,4,23,33,
5,B,B,B,B,T1,T1,,,,64,17,40*,,,T1,34,
1,,-3,-12,,(0),15,,,QT,63,22,47,-2,TD,31,35,
2,4,-4,4,4,(0),15,,QT,,59,15,42,21,T1,33,36,
3,(-3),(-2),-4,-3,(-2),15,QT,,,67,17,44,2,DS,12,37,
4,-2,F -2,(DS),(-3),-4,QT,(T1),(T1),(T2),62,21,46,,T1,16,38,
5,B,B,B,B,F -DS,INT -DS,INT DS,INT X,INT T1,59,DS,T1*,X,DS,33,39,
