1996,Florida,Gators,31,13515041,541439,c:\Mike\Football\Helmets\Florida.bmp,FLA,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,8,6,-3,3,-DS,F X,16,5,T1,21,DS,F S,10,
11,2,7,8,5,1,17,11,13,PI T1,30,DS,F -DS,11,
12,1,,9,B,,19,9,OFF 10,OFF S,21,14,-15,12,
13,OFF R,DEF R,OFF R,OFF 10,OFF S,-DS,OFF S,PI X,OFF 10,T1,-2,-3,13,
14,DEF R,OFF R,DEF R,DEF R,DEF S,DEF R,DEF S,DEF R,DEF R,24,-1,-1,14,
15,OFF S,DEF S,DEF S,OFF S,,OFF R,,OFF S,52,28,-2,-1,15,
16,-3,-2,B,7,7,9,DS,X,(T1),23,-3,-2,16,
17,8,8,8,5,-1,7,PI DS,14,T2,27,-4,,17,
18,5,-3,2,8,4,INT -DS,TD,TD,(TD),21,-7,-1,18,
19,F DS,-DS,F DS,-DS,B,T2,T2,T1,48,TD,-DS,-4,19,
20,-2,5,7,B,,43,(DS),11,25,40,8,-5,20,
21,B,B,3,2,BLP,15,T1,T1,-40,23,2,-3,21,
22,9,1,9,,2,7,11,14,13,T1,6,-7,22,
23,7,5,,7,6,11,12,12,-18,18,6,-12,23,
24,8,7,9,1,B,DS,16,21,20,12,3,-6,24,
25,6,3,2,B,9,12,5,X,(X),15,5,-7,25,
26,-2,-1,-1,8,7,-1,X,12,43,21,,-1,26,
27,-1,4,,3,SOP,QR,QR,QT,INC,TD,8,-11,27,
28,8,1,,B,SOP,7,INC,INT X,QT,34,X,-6,28,
29,5,F -2,7,F -DS,-4,33,16,T2,-49,40,3,-14,29,
30,3,8,6,5,4,(X),4,(X),T1,14,7,-10,30,
31,4,8,1,3,SOP,X,(DS),DS,(T1),18,6,-2,31,
32,6,7,3,2,BLP,INC,INC,INC,INC,13,5,-DS,32,
33,5,B,9,B,SOP,INC,INC,INC,INC,15,2,-1,33,
34,6,6,B,5,BLP,INC,INC,INC,INC,11,,-8,34,
35,B,7,,,SOP,INC,INC,INC,INC,10,3,-5,35,
36,8,8,5,6,BLP,(X),INC,INC,INC,12,,-4,36,
37,9,,1,B,SOP,11,(X),X,(T1),T1*,6,F -DS,37,
38,,B,B,8,BLP,7,12,(X),T1,T1*,5,-8,38,
39,-4,5,5,-1,6,3,34,11,(TD),T1*,17,-13,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-2,-2,-2,(0),-2,,INC,INC,,50,TD,OFF S,X,-DS,DEF S,10,
2,-2,(0),-2,-2,(0),,,INC,,55,22,44,F DS,2,23,11,
3,(0),-2,(0),(-1),-2,,,INC,QT,54,24,38*,16,,31,12,
4,,,,,,QT,,,INC,51,,37*,22,DEF R,27,13,
5,,,,,,,,,INT T1,T2,27,36*,-2,,20,14,
1,(0),(0),(0),(0),(0),,,,15,71,33,40*,OFF R,DS,30,15,
2,-2,-2,-2,-2,-2,,,,15,58,32,25*,28,T2,OFF S,16,
3,(0),-2,-2,-2,-2,,5,5,12,75,26,40*,14,,33,17,
4,-1,-2,-4,-3,,X,,,,63,T1,BK -X,T1,T1,BK -X,18,
5,-1,-5,-4,-3,(0),,T1,(T2),(T2),50,T2,49,-DS,OFF R,21,19,
1,-2,-2,(0),-2,(0),INC,,,INC,51,T1,41,T2,,22,20,
2,(0),-2,-2,-2,-2,INC,,,,69,40,46,X,TD,23,21,
3,-2,(0),(-1),(0),(0),INC,,,,72,22,33*,DEF R,T2,18,22,
4,,,-3,,,-4,INC,INC,,61,DS,T1*,X,T1,X,23,
5,,,-5,,,,,,,65,20,38*,DS,T1,24,24,
1,-2,(0),-2,-2,-2,,INC,INC,INC,58,19,37*,,X,25,25,
2,-2,(0),(0),-2,-2,,,,,56,OFF R,44,3,X,22,26,
3,(0),-2,-2,(0),(0),,,,,64,24,41,T1,DS,21,27,
4,,,,,,,QT,,,63,27,DEF S,TD,,27,28,
5,,,,,,(-2),,,,53,26,39*,DS,,NG,29,
1,-5,-5,-5,-5,,,,,INC,70,16,51,OFF R,5,24,30,
2,,,,,,,,,INC,49,16,32,X,T1,28,31,
3,,,,,,,INC,INC,QT,58,15,38,12,X,28,32,
4,,,,,3,,,,-12,56,17,41*,,DS,T1,33,
5,,,,,3,-18,,,INC,71,25,41,12,12,22,34,
1,5,,,5,-5,-15,,,,59,33,36*,DS,DS,23,35,
2,(0),(-2),(-2),(-2),-4,12,,,,62,22,44,9,TD,X,36,
3,,4,4,,,QT,QT,QT,QT,70,19,T1*,11,X,26,37,
4,-4,-4,-5,-4,-DS,(T1),QT,QT,QT,64,11,31*,,7,25,38,
5,-6,-6,F -DS,F -DS,20,INT -DS,INT DS,,,54,DEF R,43*,19,X,27,39,
