1998,Tennessee,Volunteers,30,2389486,16777215,c:\Mike\Football\Helmets\Tennessee.bmp,TNN,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,DEF R,OFF R,OFF S,DEF S,OFF R,T1,13,OFF R,OFF S,44,B,-6,10,
11,OFF R,DEF R,DEF S,OFF S,DEF S,13,OFF S,PI DS,T2,21,9,-10,11,
12,B,3,B,4,B,DS,QR,QR,T1,T1,-3,-5,12,
13,9,3,(0),6,6,DS,QR,QR,33,21,-DS,-2,13,
14,7,4,7,6,8,OFF R,13,14,33,15,8,12,14,
15,(0),4,2,-1,-4,QT,QR,7,QR,11,8,9,15,
16,2,(0),4,4,8,QR,QR,QR,QR,39,-7,,16,
17,8,8,6,7,,QR,DEF S,DEF R,DEF S,34,X,9,17,
18,-DS,-DS,-3,-4,-DS,F X,T1,31,TD,T2,DS,6,18,
19,F DS,F -2,F -3,F X,F 2,37,T1,T1,T1,TD,2,8,19,
20,3,(0),8,(0),,QT,QT,T1,TD,13,-4,-14,20,
21,5,5,(0),2,4,INC,8,QR,INC,T1,5,-4,21,
22,2,7,9,5,,QT,12,INC,QT,12,,-3,22,
23,B,4,(0),6,4,INC,INC,INC,INC,15,2,X,23,
24,5,B,B,B,B,INC,INC,INC,INC,17,-5,-8,24,
25,6,7,6,6,4,INC,INC,INC,INC,16,7,-7,25,
26,5,7,5,5,7,INC,INC,QR,21,21,4,-3,26,
27,5,7,5,B,(0),QR,INC,QR,39,21,B,-12,27,
28,(0),8,(0),7,9,DEF S,PI DS,PI X,T1,23,-5,-10,28,
29,8,5,8,-3,-4,31,T1,T1,30,T2,F DS,F -DS,29,
30,8,3,5,(0),SOP,14,QR,QR,18*,T1,8,1,30,
31,7,5,(0),4,BLP,QR,X,INC,OFF R,12,4,5,31,
32,2,9,3,2,SOP,QT,12,INC,INC,10,X,-4,32,
33,5,5,8,9,B,7,QR,QR,18,11,5,-7,33,
34,5,6,5,B,4,5,INC,8,INC,18,-2,DS,34,
35,6,4,5,6,4,INC,5,X,QR,15,3,-7,35,
36,4,6,3,8,BLP,2,9,X,21*,11,4,-8,36,
37,4,7,B,5,5,DS,QR,QR,QT,17,X,X,37,
38,5,9,5,9,B,INC,QR,QR,QR,10,2,-4,38,
39,5,7,4,7,7,T1,QR,QT,T1,21,6,-5,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(0),(0),-1,(0),-1,,,-1,INC,46,F X,50,19,33,35,10,
2,,-2,,(0),,,,INC,,50,DS,47,8,DEF S,20,11,
3,,-2,,(-1),-4,,,INC,,55,14,OFF S,17,33,20,12,
4,,,,,-6,,,,,58,20,40,15,OFF R,21,13,
5,,,,,,-44,,,INT T1,60,T1,33*,20,OFF R,17,14,
1,(-1),(-1),(0),(0),-1,,,,,66,DS,40,,-2,22,15,
2,(0),-2,,,,,,,,65,18,37*,-DS,F X,OFF S,16,
3,(0),-2,,,,,,,INC,54,DEF R,38*,F X,-1,NG,17,
4,,,,,,(-3),,,(T1),70,TD,DEF R,X,X,12,18,
5,,,,,,,,,(T2),68,T2,T2,11,TD,33,19,
1,-1,(-1),(0),(0),(0),(0),,INC,,57,16,36*,2,,21,20,
2,,-2,(0),,,-1,INC,,,70,14,42,OFF R,,22,21,
3,,-2,(-1),,,(0),,,INC,53,25,36*,DEF R,18,18,22,
4,,,,,,,,,,55,16,42,8,9,16,23,
5,,,,,,,,INC,INC,71,31,49,,DEF R,21,24,
1,(0),(0),(0),(0),-1,,INC,,INC,50,14,44*,,34,27,25,
2,,-2,,,,,INC,,,56,12,51,11,-2,DEF R,26,
3,,-2,,,,,-1,,,65,OFF S,29*,16,,15,27,
4,,,,,,,,INC,,59,23,BK -X,9,TD,21,28,
5,,,,,,INT -2,,-2,,64,T2,45,,DS,BK -X,29,
1,,-2,,,,8,,,INC,62,11,48,,T1,33,30,
2,,,,,,8,,,INC,56,22,39,12,X,30,31,
3,,,,,,8,,,INC,61,T1,41,,DS,30,32,
4,,,,,,(T1),,INT X,,62,29,40,10,DS,30,33,
5,,,,,,(T1),,,INC,T2,15,T1*,4,,32,34,
1,,,,,(0),10,,,QT,55,27,38*,13,,35,35,
2,,,,,(0),12,,QT,,63,28,41,14,DS,30,36,
3,(-2),(-2),-2,(-1),(-2),-18,QT,-15,,60,23,47,9,T1,33,37,
4,,,(-3),(-4),F -DS,(-DS),,,,69,22,45,,1,33,38,
5,F -3,F -1,F -DS,F -2,,-53,INT X,X,-8,59,T1,43*,16,19,33,39,
