1999,Virginia Tech,Hokies,30,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,9,B,4,6,3,35,T1,10,T2*,13,DS,15,10,,,
11,5,B,1,,SOP,X,21,9,50,19,4,2,11,,,
12,4,B,4,6,SOP,OFF R,OFF R,15,T1*,21,DS,,12,,,
13,DEF R,OFF R,DEF R,OFF R,DEF S,DEF R,X,X*,PI T1,T1,4,7,13,,,
14,,B,11,3,3,11,12,X,DEF S,TD,2,2,14,,,
15,8,3,6,3,OFF S,6,9,OFF R,OFF 10,55,2,3,15,,,
16,2,3,,F+DS,2,13,DEF R,DEF R,20,18,3,2,16,,,
17,B,7,6,3,3,15,21,13,21,16,3,,17,,,
18,B,F+1,6,4,F-DS,TD,T2,29,49,11,TD,8,18,,,
19,DS,DS,F-DS,DS,DS,F-DS,F+DS,F+X,F+T1,TD,F-DS,X,19,,,
20,B,,3,6,(O),13,17,-8,(T1)*,23,DS,9,20,,,
21,4,6,4,7,(O),3,11,QR,(T1),39,F+1,6,21,,,
22,3,4,11,,BLP,2,15,QR,(T1),22,DS,F-DS,22,,,
23,OFF S,DEF S,OFF S,DEF R,,QR,QR,-7,-17,14,1,3,23,,,
24,8,,3,4,BLP,6,QR,QR*,X,12,3,6,24,,,
25,2,7,8,4,SOP,3,-6,QR*,19,18,2,7,25,,,
26,5,1,,4,BLP,(O),-9,QR,INC,15,2,7,26,,,
27,9,,2,4,2,4,-12,INC,OFF S,T1*,4,12,27,,,
28,F+DS,4,2,6,1,10,INT DS,QR,(T1),T1*,8,5,28,,,
29,2,4,7,7,4,10,QR,T2,INC,10,6,12,29,,,
30,7,1,2,2,6,,-14,QR,INC,T1*,4,7,30,,,
31,4,5,6,2,5,-4,-8,INC,INC,16,9,2,31,,,
32,3,3,3,9,9,-4,INC,INC,INC,14,,3,32,,,
33,B,B,1,B,B,INC,INC,QR,QT,12,9,8,33,,,
34,6,5,8,B,B,INC,INC,INC,INC,10,B,DS,34,,,
35,7,6,B,4,B,INC,INC,INC,INC,T1,B,B,35,,,
36,8,10,B,6,8,INC,INC,QR,INC,12,2,2,36,,,
37,5,3,4,8,7,-7,-7,QR,INC,15,7,1,37,,,
38,,8,B,3,4,-6,-14,QR,(T1),41,1,5,38,,,
39,B,2,4,8,1,-7,QR,QR,TD,11,7,11,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,3,3,3,(O),3,,,INC,INC,73,12,30*,DS,43,21,10
2,(O),-1,(O),(O),(O),,-1,INC,,66,T1,23*,T1,F+T1,23,11
3,1,1,1,(O),1,,,8,,75,21,41,14,,NG,12
4,,,,,,,INC,,,59,27,BK-X,OFF R,34,25,13
5,,,,,,QT,QT,QT,QT,68,33,OFF S,X,OFF R,OFF S,14
1,(O),3,3,3,(O),,,,13,T2,DEF R,DEF S,DEF R,DEF R,35,15
2,(O),-1,(O),1,(O),,,,14,55,26,36*,3,17,25,16
3,-1,1,1,1,(O),,,,15,72,OFF R,34*,T1,DS,DEF R,17
4,,,,(O),,QT,QT,QT,QT,58,F+X,46,F+X,TD,BK-X,18
5,,,,,,QT,QT,QT,QT,75,44,T2,TD,,34,19
1,(O),-1,(O),3,3,(O),,,,67,17,28*,4,DS,27,20
2,1,1,(O),1,(O),(O),,,,66,X,30*,5,DS,15,21
3,1,1,(O),(O),1,-1,,,,63,14,48,12,DS,24,22
4,,,,,,,,INC,INC,71,11,37,39,T1,26,23
5,,,,,,,INC,INC,QT,55,27,43,DS,T1,27,24
1,3,(O),2,(O),(O),,INC,,,54,24,44,16,T2,25,25
2,(O),3,1,1,2,,INC,,INC,65,T1,39*,X,5,25,26
3,1,3,1,1,2,,8,INC,,55,DS,47,15,X,25,27
4,,,,,,QT,,,,70,15,30*,2,,19,28
5,,,,,,QT,QT,INT X,INC,70,13,33*,DS,DS,DS,29
1,-5,-5,-5,-5,-5,,,,INC,66,22,46,T1,OFF R,24,30
2,,,,,,,,,INC,T2,24,40,X,T1,26,31
3,,,,,DS,,,,INC,53,17,42,,T1,T1,32
4,,,,,X,QT,QT,QT,,50,T1,T1*,9,X,T1,33
5,,,,,T1,QT,QT,QT,QT,60,19,37,,T1,35,34
1,1,1,5,1,1,12,,,,61,19,39,X,,35,35
2,1,4,1,5,2,14,,,,53,24,34*,19,TD,35,36
3,-2,2,2,2,-3,(T1),QT,QT,,57,18,52,12,DS,29,37
4,4,-4,-6,4,DS,QT,QT,QT,INT T1,59,T1,34*,T1,DS,28,38
5,F,F-DS,F-DS,F-5,DS,QT,QT,QT,QT,68,22,48,4,41,27,39
