2002,Ohio State,Buckeyes,26,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,4,13,15,3,3,18,42*,INT 13,QT,12,2,23,10,,,
11,2,10,3,5,3,6,INT 4,35,52,3,23,57,11,,,
12,DEF5X,DEF15,DEF5X,DEF5X,DEF5X,PI 7,PI 6,PI 11,PI 25,7,,35,12,,,
13,2,5,11,7*,13,1,12,21*,INT 30,7,2,20,13,,,
14,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,DEF5,9,10,21,14,,,
15,B,6,12*,11,1*,13*,13,17,29,7,3,20,15,,,
16,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,5,9,41,16,,,
17,1,9,5*,2,1,5*,18*,12,QT,7,7,41,17,,,
18,7,9,9,9*,4,2*,15,INT 8,37,7,5,72,18,,,
19,6,1,19*,11,10,32,INT 10,34*,51*,1,40,53,19,,,
20,F+2,F+1,F-1,F,F,F+7,F+14,F+31,F+11,6,11,TD,20,,,
21,5,12,9,14,11,15*,INC,10,17,5,4,23,21,,,
22,6,4,3,2,*,8,INC,17,22,10,1,20,22,,,
23,4,2,,2,1,4,QR,5,16,1,2,22,23,,,
24,7,,B,4,1*,13,QR,INC,QT,8,4,24,24,,,
25,1,1,,3,12,11,QR,7*,13,3,6,25,25,,,
26,4,B,2*,4,BLP,4,QR,10,16,,4,22,26,,,
27,7,12,6,8,1,2,INC,11,20,5,1,23,27,,,
28,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,OFF5,1,,35,28,,,
29,6,,8,13,9*,1*,11,INC,INT 21,9,15,54,29,,,
30,9,8,*,6,3,7,INC,25,INC,7,6,21,30,,,
31,4,1,4*,5,3,INC,INC,INC,INC,6,F-3,20,31,,,
32,2,2,3,,13*,10,INC,INC,INC,8,3,23,32,,,
33,7,2,3*,5,SOP,INC,19,QR,INC,2,8,21,33,,,
34,1,1,2,1,BLP,INC,8,QR,QT,9,3,25,34,,,
35,5,4,,5,SOP,QT,14,QR,INC,10,9,21,35,,,
36,2,2,3,,6,9,7,QR,INC,3,6,20,36,,,
37,5,4,4,B,4,14,13,INC,17,F-2,6,21,37,,,
38,2,14,6*,6,5,7,INC,14,21,4,7,22,38,,,
39,8,5,9*,7,1,INT 2,5,INC,43*,3,10,36,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,1,,2,-1,1,2,,,,OFF5,F+25,52,F,44,20,10
2,2,2,,,,,,1,,63,16,49*,7,20,OFF5,11
3,,-2,,,,,,,,49,15,58*,DEF15,DEF15,29,12
4,1,,,1,,2,INC,,INC,46,17,41*,14,12,26,13
5,,,,,,,,,,62,27,40*,11,23,34,14
1,0,1,,-1,4,,-8,,,50,OFF15,28,OFF15,12,30,15
2,2,3,,0,2,,,,,49,15,41*,16,22,25,16
3,0,-2,-1,,,6,,3,-14,60,25,44,14,15,34,17
4,,,,,,,,,,53,27,32,12,6,30,18
5,,-1,,,,,,4,,37,52,61,45,55,20,19
1,2,,-1,0,3,,,6,,57,DEF15,34*,11,7,34,20
2,,,,,3,,5,,,52,23,50*,5,OFF15,30,21
3,,2,-1,,2,INC,3,,10,48,10,43,6,12,31,22
4,1,1,1,1,,,,,,55,20,39,4,4,31,23
5,,,1,1,,,,,,61,24,41*,16,,21,24
1,,,,1,1,6,2,2,,51,12,28,7,20,23,25
2,,1,,2,2,,4,2,,57,18,51*,,4,34,26
3,,,,,1,3,4,INC,,49,16,46,9,4,24,27
4,,2,,,,,,,,54,27,44,2,17,34,28
5,1,1,1,2,,INT 2,,INT 14,-42,65,14,52*,24,F+18,DEF5,29
1,1,,,1,3,,,,INC,51,26,42,5,33,34,30
2,,,3,2,3,,,,INC,60,28,52*,,13,28,31
3,2,,,3,1,,,,10,55,21,OFF5,,9,34,32
4,1,3,1,1,,,INT 10,INT 8,INT 31,58,13,33*,17,11,34,33
5,2,2,2,3,,INT 5,INT 16,,INT 19,41,20,36,,,34,34
1,,,6,1,1,4,4,,QT,48,24,48*,18,,34,35
2,,,,3,-1,2,,,,57,28,51,7,14,30,36
3,,2,,,3,,,1,8,60,19,45*,,TD,28,37
4,1,1,1,1,,-49,,INC,QT,48,15,35,6,11,21,38
5,,,,2,,,INT 6,INT 10,,53,21,57,37,63,18,39
