2003,Minnesota,Gophers,28,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,2,B,DEF R,5,1,T2,15,PI X,T1,22,24,F-DS,10,,,
11,X,X,B,1,1,10,QR,OFF R,47,16,X,11,11,,,
12,3,5,DEF R,1,SOP,X,OFF S,16,OFF R,18,15,4,12,,,
13,1,1,6,5,DEF R,X,QR,QR,24,15,5,9,13,,,
14,DEF S,OFF S,5,B,,OFF R,10,8,29,13,DS,17,14,,,
15,OFF S,DEF S,OFF S,OFF R,B,16,DEF S,QR,DEF R,12,X,DS,15,,,
16,X,,4,7,2,QR,QR,DEF R,22,45,21,,16,,,
17,3,6,B,9,OFF R,QR,QR,QR,PI T1,47,T1,DS,17,,,
18,,3,X,1,X,T1,T2,45,T2,T2,52,18,18,,,
19,F,1,F+DS,,F+X,F-2,TD,T1,INT T1,TD,T2,TD,19,,,
20,1,5,4,5,BLP,5,QR,X,28,18,3,11,20,,,
21,6,4,B,,2,4,6,X,INC,12,2,2,21,,,
22,5,B,5,DEF R,1,X,15,INC,TD,10,4,8,22,,,
23,B,7,B,,B,INC,INC,INC,INC,15,,,23,,,
24,8,7,2,X,5,INC,INC,INC,INC,21,5,6,24,,,
25,B,1,B,1,B,INC,INC,QR,INC,18,,2,25,,,
26,,1,X,,5,INC,INC,INC,23,12,DS,4,26,,,
27,2,DS,B,2,OFF S,DEF R,INC,INC,32,14,4,13,27,,,
28,2,,X,2,BLP,QR,PI X,OFF S,T3,13,10,7,28,,,
29,4,X,1,X,B,27,29,TD,33,T1,6,X,29,,,
30,4,2,,X,,QR,QR,INC,OFF 10,17,5,X,30,,,
31,4,4,2,1,BLP,3,13,QR,19,T1,6,,31,,,
32,5,6,2,2,SOP,15,X,INC,INC,17,X,,32,,,
33,5,7,,6,5,5,INC,4,17,11,,7,33,,,
34,8,B,B,B,SOP,6,QR,7,INC,13,1,DS,34,,,
35,B,4,8,B,BLP,INC,6,X,QR,12,3,1,35,,,
36,4,7,6,2,6,,8,X,20,14,2,DS,36,,,
37,X,B,6,,B,DS,DS,QR,INC,14,B,8,37,,,
38,9,4,5,6,3,INC,X,QR,15,18,5,7,38,,,
39,1,X,2,4,,36,10,19,T1,37,DS,,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-1,1,2,2,2,,-2,-1,,80,F+DS,36,DS,OFF R,26,10
2,2,1,2,2,2,,,-1,,45,T1,T1*,1,OFF 15,40,11
3,(O),(O),2,2,2,4,,-1,INC,57,X,45,3,F-1,T1,12
4,1,(O),,,,15,,,,66,15,OFF R,OFF R,30,OFF R,13
5,2,(O),,8,(B),15,F+X,,-26,77,OFF R,40,DS,DS,23,14
1,(O),2,2,(O),2,,,,,62,21,29*,X,1,DEF S,15
2,(O),2,2,2,2,,,,,56,13,46,T1,X,X,16
3,(O),(O),-2,2,-2,8,-9,-14,(X),55,T2,56,62,12,39,17
4,2,(O),-2,(O),2,-2,-19,-23,-37,62,TD,T2,T2,DS,T1,18
5,2,(O),2,(O),-2,,,,,T1,T3,BK-X,F,TD,BK-X,19
1,2,2,(O),2,(O),(O),,,INC,66,37,52,5,30,DS,20
2,2,2,(O),2,2,(O),,,,75,13,38,19,27,30,21
3,2,2,2,(O),2,(O),,,,59,35,34*,DEF R,22,40,22
4,,,2,,(O),,INC,INC,-22,68,DEF R,42,4,5,37,23
5,,,8,,2,,INC,INC,,64,22,39,17,,28,24
1,2,2,2,2,2,,(O),2,,73,18,48,3,,33,25
2,2,2,2,2,2,,INC,4,,59,T1,DEF R,15,,37,26
3,,,,,,,-1,5,INC,68,40,35*,T1,13,40,27
4,,8,8,,,(O),,6,INC,55,,39,7,4,28,28
5,8,,,8,8,(O),,8,INC,80,21,46,22,19,NG,29
1,,,,,,,,,INC,70,X,32*,14,,36,30
2,,,,,,,,,INC,75,T1,44,,4,37,31
3,,,,,,,INC,INC,,66,14,45,19,2,25,32
4,-17,-15,-19,(B),,(T1),INC,INC,INC,64,18,35*,2,,33,33
5,,,,,(T1),-22,,-19,(T1),72,33,47,13,X,37,34
1,-1,,,,-2,4,,,,59,28,40,,,40,35
2,,(O),,,,6,,,,71,10,30*,11,X,32,36
3,,,8,-5,,-17,QT,QT,QT,64,26,42,5,,37,37
4,,,(DS),X,DS,-6,,-21,INC,66,21,38,24,T1,35,38
5,,,8,F-2,,-40,INC,INC,-39,72,8,50,22,,36,39
