2004,Oklahoma,Sooners,32,3408058,16777215,c:\Mike\Football\Helmets\Oklahoma.bmp,OKH,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,14,B,16*,10,-4*,9,20,28,28,TD,4,-12,10,
11,10,B,3*,3,10,-1,INT 13,17*,22,41,-4,-7,11,
12,DEF X,DEF 15,DEF 15,DEF 15,DEF X,PI 5,PI 11,PI 9,PI 15,28,-2,-5,12,
13,7,10,B,-3,9,10,QR,11,INT 30,25,3,-8,13,
14,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,22,-1,2,14,
15,,5*,-2*,17,5,9,19,12,20,25,3,-10,15,
16,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,40,-5,-3,16,
17,4,12,B,10,14,14,12,10*,22*,TD,-3,-8,17,
18,8,18,B,15,10,7,16,12,30,30,4,-1,18,
19,13,B,B,13,B,B,TD,39,TD,54,6,-17,19,
20,2,15,4,B,9,QT,22,11,20*,27,-1,5,20,
21,9,8,8*,7,5,8*,12,10,18,20,,-4,21,
22,7,,-1,2,BLP,2,15,8,21,22,,-10,22,
23,6,6,4,3,3,INC,8,15,INC,23,,-9,23,
24,1,1,5,4,10,1,9,11,13,21,,-12,24,
25,5,2,1,,SOP,10,11,9,10,31,1,-4,25,
26,6,5,3,2,SOP,12,INC,QR,INC,25,,F -2,26,
27,8,16,6,B,3,INC,14,10,QT,23,-3,-6,27,
28,F ,F 1,F -1,F 1,F 2,F 6,F 9,F 6,F 24,30,-2,-4,28,
29,14,B,19*,B,18*,INT 2,24,30,TD,TD,5,6,29,
30,9,2,1,7,5,2,INC,13,21,22,-1,-5,30,
31,3,2,*,3,8,INC,INC,INC,18,20,F -1,-6,31,
32,7,8,5,3,-1,INC,INC,9,14,22,-2,-10,32,
33,2,5,4*,4,BLP,3*,INC,INC,10,21,,-4,33,
34,6,7,1,2,SOP,11,10,INC,INC,24,,-10,34,
35,4,2,7*,6,BLP,2,7,INC,INC,26,-2,,35,
36,7,1,5,3,1,10,INC,8,INC,21,,-2,36,
37,3,,6*,2,4,13,6,13,INC,24,,-4,37,
38,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,TD,3,-13,38,
39,B,-1,B,15,15*,17*,23,INT 10,QT,32,6,-10,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,-1,-2,,-1,-2,,,-2,-3,OFF 5,56,49,34,43,DEF 5,10,
2,-1,,,-2,,,-2,,-1,66,16,56*,37,19,15,11,
3,,,,,,,-2,-1,-5,58,12,48,DEF 15,DEF 15,13,12,
4,,,-6,,-1,INC,,QR,-6,63,24,37*,7,12,15,13,
5,,,-5,,,-4,QT,-4,-10,64,22,42*,10,39,16,14,
1,-1,,,-1,-5,,,,,62,31,37*,12,OFF 15,18,15,
2,,-2,-1,-1,-2,,,,,62,12,30,8,38,13,16,
3,,-1,,,,,-1,,,67,19,62,12,11,15,17,
4,,,,,-2,,,QR,QT,62,39,55*,F 17,F 5,13,18,
5,-2,,-1,-2,,-31,QR,3,-9,69,56,59*,50,51,9,19,
1,-1,-1,-2,-1,-4,-6,-1,,-1,68,DEF 15,60,19,13,8,20,
2,-1,-1,,-1,-2,,,,-3,57,OFF 15,45*,OFF 15,28,10,21,
3,,,,-1,-2,-3,-1,-2,,61,9,36,14,14,14,22,
4,,-1,-2,,-4,-7,QR,QR,,68,16,36*,2,17,6,23,
5,,,-1,,-6,QT,-11,INC,-33,58,18,OFF 5,7,24,18,24,
1,,,,,-3,-1,,-6,-2,63,11,47,TD,,13,25,
2,-3,,,,1,,INC,,,61,13,35,4,,18,26,
3,2,,,1,2,-3,,-6,,49,8,35,13,16,9,27,
4,-1,,,1,1,-5,-4,-9,14,70,23,42,13,17,10,28,
5,1,-2,1,1,,-9,INT 10,INT 13,22,49,F 15,50*,40,48,10,29,
1,1,1,1,2,-1,,-4,-1,-1,61,34,43,3,26,11,30,
2,,1,,2,2,,-3,-2,-8,62,8,31*,10,7,10,31,
3,2,,2,1,2,,-4,-2,INC,68,26,46*,,14,10,32,
4,,3,2,2,1,(-2),-10,INT 9,INT 28,61,17,30*,15,6,13,33,
5,-1,2,2,2,,,INT 7,-10,INT 34,65,19,44*,5,18,18,34,
1,-1,1,-6,,-11,,-2,-2,QT,64,26,46,2,14,15,35,
2,,1,-1,-4,,10,,-3,-5,64,14,49,13,,10,36,
3,1,-2,-3,2,,8,QR,QR,-3,59,10,36*,3,4,16,37,
4,,1,,,1,-5,-5,QT,-6,50,8,33,5,24,13,38,
5,,,-9,,,22,QT,-39,INT 23,46,42,66,34,15,OFF 5,39,
