2006,Ohio State,Buckeyes,25,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,B,11,-2,13,5,INT-1,36,3,29,24,27,42,10,,,
11,18,-2,6,-5,8,13,B,28,17,13,-3,45,11,,,
12,OFF5,F+ 3,-1,OFF5,OFF10,OFF10,11,F+ 10,OFF5,9,21,18,12,,,
13,DEF5X,DEF5X,DEF5X,DEF5X,DEF5X,DEF15,PI 12,PI 15,PI 23,16,2,21,13,,,
14,7,DEF5,4,6,BLP,7,4,14,16,-2,16,20,14,,,
15,10,6,2,DEF5,DEF5,16,8,DEF5,24,7,8,47,15,,,
16,F+ 1,4,6,OFF10,OFF5,OFF5,OFF10,26,INT 25,7,19,49,16,,,
17,B,12,11,-6,-3,14,INT 13,20,21,15,15,48,17,,,
18,B,B,15,16,16,B,22,INT 11,34,10,B,36,18,,,
19,-4,15,-5,14,-9,B,TD,TD,51,34,29,57,19,,,
20,OFF10,OFF10,OFF5,F+ 4,F+ 2,9,OFF5,OFF10,F+ 18,9,-1,28,20,,,
21,DEF5,1,DEF5,2,SOP,7,DEF5,9,DEF5,2,15,30,21,,,
22,,2,5,3,4,QT,12,11,20,6,3,25,22,,,
23,4,,5,-1,BLP,8,7,INC,12,4,F+6,17,23,,,
24,7,6,,B,2,12,INC,INC,14,-8,10,21,24,,,
25,3,4,6,3,4,8,INC,QR,INC,-5,4,17,25,,,
26,6,4,3,6,3,INC,14,5,12,3,9,24,26,,,
27,6,10,2,6,3,10,9,10,17,-10,3,TD,27,,,
28,2,OFF5,F,,-4,F+ 7,F+ 9,OFF5,OFF10,-10,12,38,28,,,
29,11,16,B,-4,16,B,35,B,46,-14,-7,53,29,,,
30,3,6,12,9,3,DEF5,16,8,21,7,3,26,30,,,
31,1,2,4,5,B,11,9,10,16,F-6,3,20,31,,,
32,3,1,3,4,BLP,5,QR,INC,INC,-5,,20,32,,,
33,7,2,2,3,-1,4,INC,QR,INC,2,6,18,33,,,
34,,7,-1,5,SOP,7,13,INC,INC,-5,-1,26,34,,,
35,6,4,5,3,SOP,INC,INC,8,QT,-2,7,16,35,,,
36,1,7,B,6,BLP,INC,QR,INC,INC,-8,2,30,36,,,
37,9,B,3,3,6,8,9,12,INC,-5,5,20,37,,,
38,2,7,7,6,2,10,10,19,17,-11,13,24,38,,,
39,19,-3,15,18,14,21,1,29,TD,14,16,32,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,-1,,0,,-2,-3,-1,-2,,40,32, 40*,38,70,35,10
2,,,3,-4,,,,,,64,31, 39*,32,40,34,11
3,-5,,,,,,,INC,-7,45,F+ 19, 28*,19,32,35,12
4,,,,,,,INT 13,-3,INC,73,17,44,10,14,37,13
5,,0,,,,-6,,QR,INC,59,18, 46*,10,9,NG,14
1,-1,0,,0,-3,,-6,1,,72,19, 53*,DEF15,15,35,15
2,-1,-1,,-1,,,-2,,,65,20,DEF15,18,18,33,16
3,-2,-1,,-2,-1,,,,,60,20, 41*,F+ 3,29,NG,17
4,-2,0,,,-3,-2,QR,INT 13,,69,27, 56*,49,47,34,18
5,,,-2,0,0,(B),,,-14,68,76, 59*,58,86,34,19
1,,,0,-6,-4,,,-1,,OFF5,18,25,9,F+ 5,36,20
2,,,-2,,0,,-5,,-5,60,DEF15,38,3,12,DEF15,21
3,,,-3,-2,,INC,-3,-2,-8,55,20, 27*,TD,23,OFF5,22
4,,,,,,,-4,QR,-9,63,21,51,8,19,14,23
5,4,-11,,,-2,INT-1,QR,INT 14,INT 22,65,19,OFF5,4,18,3,24
1,1,1,,2,,-2,,-1,,56,25, 42*,,14,37,25
2,,1,,1,,-2,INC,-2,-6,58,26, 32*,OFF15,TD,33,26
3,,,2,,,,,INC,-5,64,15, 36*,9,DEF5X,33,27
4,2,,3,3,2,-2,INT 16,INT 11,-9,73,23,51,20,35,33,28
5,4,2,,7,,-3,-1,-1,-6,51,37,25,30,37,37,29
1,,,2,5,,-2,,,INC,66,14,42,17,OFF15,36,30
2,,2,,,,,-3,-3,-10,60,9, 48*,10,12,36,31
3,5,2,2,,3,-1,-6,-4,INT 28,53,17,39,4,9,7,32
4,4,4,5,6,5,-6,-2,QR,INC,66,26, 35*,10,17,4,33
5,4,7,7,5,7,INT 0,INT 14,INT 15,INC,64,16,43,11,7,33,34
1,1,1,-4,2,-1,,INC,-1,,62,16,54,10,11,36,35
2,-1,-1,2,-1,-2,,-1,-1,QT,67,10, 42*,5,18,8,36
3,,-1,-1,-1,-1,,-2,INC,INC,62,10, 34*,8,12,33,37
4,3,-3,,8,-9,-43,QT,INT 14,-14,65,OFF15, 46*,13,12,36,38
5,,-3,-1,,-4,INT 4,INT 11,QT,INT 29,63,35, 24*,28,29,26,39
