2009,Alabama,Crimson Tide,32,3278248,16777215,c:\Mike\Football\Helmets\Alabama.bmp,ALA,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,DEF S,B,2,DEF R,-2,DEF R,7,T2,INC,T2,17,7,10,
11,-1,B,B,DEF S,DEF R,DS,15,OFF 5,PI T1,T1,16,3,11,
12,DEF R,OFF S,5,(B),3,3,13,13,DEF S,TD,10,,12,
13,OFF S,2,B,OFF R,OFF R,16,QR,OFF S,DEF R,24,-3,,13,
14,3,DS,5,B,B,32,INC,7,29,20,2,,14,
15,6,DEF S,B,B,-2,DEF S,OFF S,3,30,34,,,15,
16,5,B,DEF R,-3,-2,2,12,6,36,TD,2,-5,16,
17,(DS),(B),-2,-1,B,OFF R,TD,PI 15,T2,42,11,F -DS,17,
18,(DS),(B),-2,X,-3,T2,PI 8,INC,32,52,13,F -10,18,
19,F 1,F -1,-DS,F X,F -4,F DS,40,TD,TD,TD,F 2,17,19,
20,6,B,DEF R,1,2,OFF R,DEF R,DEF S,T1,19,9,-4,20,
21,6,,OFF R,B,2,INC,QR,18,QR,16,,,21,
22,3,-1,6,4,BLP,INC,7,QR,TD,14,-3,-7,22,
23,4,-3,(DS),-6,6,INC,6,9,INC,12,3,-DS,23,
24,2,3,6,-8,1,INC,8,14,INC,17,-4,-10,24,
25,(B),-1,(DS),-6,5,INC,18,7,INC,15,1,-6,25,
26,(B),2,2,1,BLP,INC,INC,INC,OFF R,25,-3,5,26,
27,(0),7,(DS),3,7,1,INC,9,INC,T1,6,-11,27,
28,(0),B,B,-3,DEF R,15,INC,22,29,23,15,-3,28,
29,-1,DS,F -3,-7,8,-2,35,X,45,T2,13,F ,29,
30,4,2,7,6,4,,26,INC,T1,18,1,,30,
31,6,(DS),B,B,6,QR,INC,X,INC,10,8,2,31,
32,3,5,6,,5,INC,9,INC,25,11,1,,32,
33,5,(DS),(0),5,SOP,6,INC,8,INC,16,4,1,33,
34,6,7,B,4,SOP,INC,8,INC,INC,13,-2,,34,
35,5,(DS),(0),5,BLP,7,INC,7,INC,15,,2,35,
36,5,8,7,3,BLP,8,18,INC,INC,12,5,,36,
37,-1,(DS),,4,5,INC,INC,11,INC,11,7,-9,37,
38,7,B,2,,(B),7,10,INC,INC,T1,,-12,38,
39,-1,(DS),,-6,,30,INC,INC,INC,T1,13,-14,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(0),-2,-3,(0),-2,(0),-1,INC,INC,66,21,42,T1,T2,DEF 15,10,
2,-2,(0),(0),(0),-3,-1,-1,INC,-3,71,17,DEF R,-4,DEF 15,29,11,
3,-1,-1,-1,-3,-2,-5,-3,INC,-3,60,,OFF S,8,OFF R,DEF R,12,
4,-1,-1,-1,(0),-3,-1,INC,-2,-3,65,OFF R,54,DEF R,TD,NG,13,
5,-1,-1,-1,(0),-4,-1,INC,-2,QT,64,5,38*,X,-4,T1,14,
1,(0),(0),-2,(0),-3,,,,,71,30,40*,15,79,35,15,
2,(0),(0),(0),(0),(0),,-9,,,75,T1,53,T1,OFF R,31,16,
3,(0),-2,(0),-2,(0),,,6,,69,F DS,49,TD,T1,32,17,
4,-2,-2,(0),-2,-2,INC,INC,INC,INC,50,61,55,F ,22,35,18,
5,-2,(0),F -3,-2,QT,INC,INC,INC,INC,55,T2,BK -X,T2,T2,BK -X,19,
1,(0),(0),(0),(0),(0),INC,-1,-2,-3,68,22,36*,T1,45,26,20,
2,-2,-1,(0),-2,(0),INC,-1,-2,-3,73,18,52*,7,DEF R,18,21,
3,-2,-1,(0),-2,(0),-1,INC,INC,INC,57,DEF R,35*,6,5,OFF R,22,
4,-2,-2,-2,-2,-2,-1,-1,-2,INC,59,T1,44,T1,12,18,23,
5,-2,-3,-2,-2,-2,INT ,QR,INT 14,INC,61,22,48*,X,,35,24,
1,(0),(0),-3,(0),-3,-1,INC,-2,INC,67,29,33*,5,19,32,25,
2,-2,-2,-1,-2,-1,-1,INC,-2,-3,66,15,51,OFF R,3,31,26,
3,-2,-2,-1,-2,-1,INC,INC,INC,-3,55,33,34*,,-3,32,27,
4,-2,-2,-1,-2,QR,-2,-2,-2,INC,65,12,T1*,-4,T1,28,28,
5,,,,,QR,QT,INT DS,QR,INC,80,T1,33*,7,F X,35,29,
1,-2,-2,-3,-2,-3,6,3,3,INC,73,20,41*,T1,5,18,30,
2,,,,,,3,3,3,INC,65,11,45,,T1,32,31,
3,,,2,,,3,INC,INC,INC,64,23,32*,3,,32,32,
4,-2,-2,2,-2,QR,6,INC,INC,INC,71,16,45*,16,6,32,33,
5,-2,-2,2,-2,QR,6,INC,INC,-8,60,T1,44*,,,35,34,
1,,,4,,,,,,,61,15,42*,,2,31,35,
2,,,,,,,,8,,67,21,48*,22,,18,36,
3,(-1),(-2),(-3),(-6),(-4),INC,INC,QT,QT,71,9,45*,17,,32,37,
4,,,8,,QR,QR,,INC,INC,59,30,44,T1,28,32,38,
5,,,(-DS),F -4,QR,F -X,QT,QT,INT T1,60,20,54*,4,T1,31,39,
