2009,Texas,Longhorns,27,,,,,,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,3,2,10,7,QT,-14,T2,(T1),PI T1,12,7,8,10,,,
11,3,7,OFF S,7,B,-11,OFF S,OFF S,(T1),13,T1,5,11,,,
12,DEF S,OFF S,DS,DEF S,OFF R,DEF S,-7,-5,14,10,14,T2,12,,,
13,9,5,8,1,(QR),,INC,DEF S,OFF S,11,6,1,13,,,
14,-2,DEF S,-4,7,1,OFF R,(O),INC,16,14,4,1,14,,,
15,OFF R,-3,DEF S,1,DEF R,16,DEF S,-3,DEF R,24,3,8,15,,,
16,5,-4,3,OFF S,7,7,7,-10,(T1),T1,18,10,16,,,
17,4,2,6,7,QT,(T1),PI DS,DS,TD,43,TD,F-6,17,,,
18,2,1,3,4,5,T2,-21,45,26,T2,4,TD,18,,,
19,F+3,F,F-2,F+5,QT,F+DS,TD,TD,INT T1,TD,F+DS,T1,19,,,
20,5,1,5,OFF S,(QR),-12,-4,(T1),40,21,4,4,20,,,
21,8,-2,8,7,QT,14,19,10,-19,13,1,9,21,,,
22,-2,6,-4,4,DS,(DS),-13,-9,18,15,T2,3,22,,,
23,-3,-4,3,2,3,8,12,21,-18,14,6,DS,23,,,
24,6,4,-4,6,B,-10,-17,-16,17,13,,18,24,,,
25,-2,-2,1,-1,2,4,5,10,-17,22,6,6,25,,,
26,6,5,-4,7,5,-8,(X),(X),25,12,7,3,26,,,
27,-2,-2,5,-2,(QR),QR,7,X,-27,T1,5,13,27,,,
28,-3,3,4,1,(QR),QT,(T1),-14,TD,34,3,23,28,,,
29,7,-2,7,11,QT,34,-9,42,T2,51,7,F-8,29,,,
30,4,10,5,6,(QR),6,4,7,-24,19,2,7,30,,,
31,7,5,10,6,4,-15,INC,INC,17,12,3,,31,,,
32,6,-2,4,4,4,INC,7,8,INC,13,8,4,32,,,
33,-3,4,-2,B,(QR),INC,INC,INC,INC,15,,6,33,,,
34,6,-3,B,-2,(QR),INC,INC,INC,INC,16,2,3,34,,,
35,B,6,6,6,(QR),INC,INC,INC,INC,14,5,7,35,,,
36,-3,B,(O),-2,B,-5,(X),-10,-8,17,DS,,36,,,
37,-1,-2,-2,3,(QR),12,5,X,-19,11,7,1,37,,,
38,-2,-3,1,1,QT,(X),13,-15,T1,T1,3,12,38,,,
39,-1,-1,1,-2,(QR),-1,-23,13,-28,26,4,DS,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,(O),(O),(O),(O),3,5,6,6,8,68,OFF 15,53,T2,,X,10
2,2,2,2,4,(O),4,4,4,INC,58,F+DS,50,DS,T2,T1,11
3,3,2,1,3,3,,5,4,QT,61,35,35*,3,18,T1,12
4,3,1,1,(O),2,INC,INC,INC,INC,70,23,OFF R,DEF R,TD,OFF R,13
5,3,(B),(B),6,QT,-5,F+X,INT 6,INT 17,67,27,48,17,,29,14
1,(O),(O),4,(O),4,,,,,59,32,46,,OFF R,25,15
2,(O),(O),4,3,4,,,,,66,29,T1*,15,DEF R,32,16
3,4,4,(O),3,(O),,,,,59,T2,57,TD,F+DS,36,17
4,1,1,1,3,(O),,QR,QR,QR,60,48,60,T1,F+T2,35,18
5,1,F-2,1,4,QT,-3,-3,-2,INC,75,TD,BK-X,F,F+T1,BK-X,19
1,(O),(O),(O),(O),(O),5,5,6,INC,62,1,DEF R,T1,,DEF S,20
2,,,(O),1,(O),4,3,5,6,58,OFF R,37*,OFF R,7,T1,21
3,,,(O),1,(O),(O),3,5,6,60,TD,31*,21,T1,21,22
4,(B),,1,1,,INC,INC,INC,,71,34,44,4,45,30,23
5,,(B),1,(B),,QT,INT 5,INC,QT,67,10,50,X,23,37,24
1,-1,-2,-3,-1,4,5,INC,INC,INC,62,19,41*,9,18,32,25
2,,,1,,,2,4,6,,74,DEF R,48,19,,T1,26
3,,,1,,,4,4,6,,54,26,29*,2,27,37,27
4,(B),(B),1,,-19,INC,QT,6,INC,66,14,36*,,,36,28
5,,,1,6,6,INT 0,INC,INT 13,QT,60,23,45,50,,NG,29
1,3,3,3,3,3,,5,5,INC,67,15,54,24,OFF 15,30,30
2,,,1,,,,5,INC,INC,56,T1,40,4,,32,31
3,,,1,,,,INC,5,INC,62,26,43*,6,,32,32
4,(B),(B),(B),(B),(B),-22,,,INT 28,59,25,45*,,,32,33
5,,,1,,,,INC,INC,,69,21,39*,,TD,37,34
1,-1,,,,,2,,,QT,70,27,47*,X,X,31,35
2,,-2,,,,2,,,,64,T1,44*,X,1,32,36
3,,,-6,-5,QT,2,QT,INC,,76,21,33*,7,35,28,37
4,10,10,10,10,F-DS,INT-3,QT,INT 16,INT 31,60,T2,55,T1,,32,38
5,(T1),(B),(B),(B),(B),F-DS,INC,INC,,61,19,36*,5,T2,31,39
