2012,Alabama,Crimson Tide,29,3278248,16777215,c:\Mike\Football\Helmets\Alabama.bmp,ALA,1,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,-1,B,11,19,5,14,INT 8,B,40,58,-7,2,10,,,
11,OFF5,OFF5,OFF5,OFF5,B,21,OFF5,20,OFF10,52,-6,-6,11,,,
12,6,19,15,-5,3,5,B,13,37,41,-7,1,12,,,
13,DEF15,DEF15,DEF5X,DEF15,DEF15,DEF15,PI 9,PI 10,PI 17,23,16,-12,13,,,
14,5,6,5,3,1,2,11,F+ 11,18,26,-1,-7,14,,,
15,6,4,6,5,DEF5,DEF5,17,DEF5,F+ 24,31,-4,-8,15,,,
16,10,,14,-5,15,16,18,15,22,28,-2,-7,16,,,
17,OFF10,OFF10,OFF10,19,OFF10,OFF10,OFF10,OFF5,OFF5,53,-3,-12,17,,,
18,17,17,B,B,13,19,29,INT 12,39,47,22,-15,18,,,
19,12,B,B,B,B,INT 2,37,B,55,TD,24,-14,19,,,
20,15,9,B,B,11,QT,15,21,32,56,-5,-12,20,,,
21,F+ 1,DEF5,3,DEF5,F+ 4,10,12,8,16,29,1,-6,21,,,
22,5,3,1,7,2,9,INC,11,21,27,-7,-2,22,,,
23,B,4,,2,BLP,B,17,7,22,22,4,-1,23,,,
24,5,1,1,,BLP,INC,INC,INC,INC,19,-2,F-5,24,,,
25,7,3,7,4,BLP,10,INC,12,INC,36,,-5,25,,,
26,2,2,5,1,7,11,11,QR,B,24,1,-4,26,,,
27,DEF5,F,3,F+ 5,,F+ 1,DEF5,14,INC,22,11,-6,27,,,
28,16,14,B,15,-7,10,INC,18,QT,21,9,-9,28,,,
29,13,12,-5,14,B,25,30,B,TD,TD,15,-12,29,,,
30,6,3,F+ 3,1,B,11,F+ 10,14,26,47,-7,-6,30,,,
31,5,4,4,4,2,8,12,8,12,17,-4,-4,31,,,
32,4,,-1,8,1,INC,INC,17,QT,20,F-2,-7,32,,,
33,2,2,3,7,SOP,INC,INC,INC,14,28,,-8,33,,,
34,1,9,1,1,2,6,15,INC,INC,40,1,-7,34,,,
35,3,1,3,5,SOP,12,QR,QR,INC,19,2,-2,35,,,
36,5,6,4,3,5,QT,QR,INC,QT,32,-5,-5,36,,,
37,3,B,B,B,-1,10,11,15,INC,29,,-8,37,,,
38,4,4,DEF5,4,BLP,6,10,16,DEF5,30,-2,-5,38,,,
39,16,B,17,OFF10,OFF5,OFF5,21,OFF10,INT 23,TD,18,-13,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,-3,,,-3,-1,-3,,-6,69,29,43,35,43,37,10
2,-4,,-4,-3,,-1,-1,-1,,44,36,60*,25,TD,35,11
3,,,,-1,,,,-1,-9,41,24,41*,19,42,35,12
4,-3,,,,,,QR,INC,QT,64,19,34*,22,19,33,13
5,,,-2,,0,INC,INT 15,INT 14,INC,49,13,42,12,DEF5X,34,14
1,-3,-3,,-1,,,-4,,,58,22,36*,9,15,37,15
2,(-1),-1,-4,-8,-2,,-1,-1,1,74,19,61*,F+3,12,37,16
3,,-4,,,-7,,,,,74,35,61,28,36,36,17
4,0,-3,,,,,-1,QR,3,64,57,61,51,61,36,18
5,,(-1),,,(-3),-46,QT,INT 16,INT 21,65,46,47*,48,93,NG,19
1,-1,-1,-6,-1,-4,,,-2,,75,F+13,40*,23,29,36,20
2,-2,,-3,-1,0,-2,-1,-3,-5,64,16,38*,22,13,37,21
3,-1,-2,-2,-2,,-4,-1,,-5,62,25,49*,,,35,22
4,,-2,,,-4,-4,QR,-3,-4,53,22,45,12,20,29,23
5,-4,-2,(-4),,-6,QT,INT 9,INC,INT 21,51,21,43,6,,23,24
1,,,,,,-1,,,-1,62,32,46,10,,37,25
2,,,,,,,-3,-2,,70,33,43*,DEF15,18,27,26
3,,,,-1,,,-8,-9,-3,63,30,52,OFF15,25,OFF5,27
4,-2,-2,-2,,-2,INC,INT 11,INT 14,-3,OFF5,28,60,30,33,29,28
5,-1,-1,,,-2,,QR,-6,INC,53,38,38*,19,69,NG,29
1,1,2,,,1,,-5,-5,-9,67,DEF15,49,9,18,30,30
2,,,2,1,,-3,,-2,INC,66,29,42,,,26,31
3,1,,,2,1,,-2,,-9,52,15,50,,,25,32
4,,2,1,,1,-2,INT 17,INT 10,INT 26,61,26,45*,13,9,29,33
5,3,1,,,10,INT-2,QR,QR,INT 18,68,25,48*,,15,36,34
1,,-1,-7,1,-8,11,,INC,-2,65,22,30*,7,18,28,35
2,-1,3,,1,-3,,,-3,QT,65,19,43,5,,27,36
3,-3,-4,1,-4,4,12,INC,QR,INC,62,32,OFF5,,,30,37
4,-4,-6,-1,3,3,7,INT 11,QT,-1,73,OFF15,43*,11,OFF15,DEF5X,38
5,-4,-3,-1,-2,-6,INT 2,QT,-8,INT 32,74,29,DEF5X,49,F+6,36,39
