2012,Notre Dame,Fighting Irish,32,3278248,16777215,,ND,1,,,,,,,,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,13,17,17,-5,19,10,25,B,25,29,-6,11,10,,,
11,17,18,19,14,0,INT2,B,INT11,32,38,-2,-10,11,,,
12,13,9,F+3,9,3,B,18,19,F+16,33,17,-9,12,,,
13,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,34,0,5,13,,,
14,DEF15,DEF5,4,DEF5,DEF15,DEF15,DEF5,PI12,INT24,20,-3,-10,14,,,
15,5,6,5,2,6,2,16,9,DEF5,25,1,6,15,,,
16,OFF5,F+1,-4,F+1,-2,6,F+12,14,22,41,11,-5,16,,,
17,B,15,14,12,0,5,INT11,15,33,42,0,-13,17,,,
18,14,-2,B,19,1,27,21,26,34,55,1,-15,18,,,
19,15,-3,B,13,17,B,50,32,TD,68,19,-10,19,,,
20,F-1,OFF5,OFF5,OFF5,F+3,F,15,OFF5,21,34,18,7,20,,,
21,4,2,DEF5,DEF5X,4,DEF5,13,13,19,TD,8,-7,21,,,
22,2,1,B,5,3,4,10,11,22,20,3,-8,22,,,
23,3,2,0,1,BLP,9,9,7,19,28,F+1,F-9,23,,,
24,4,B,4,B,SOP,8,INC,INC,INC,20,0,-3,24,,,
25,7,-1,2,4,5,INC,INC,INC,INC,17,6,-1,25,,,
26,3,0,3,1,1,10,INC,9,INC,21,0,-4,26,,,
27,DEF5,DEF5X,2,2,0,8,INC,12,PI20,30,3,-2,27,,,
28,17,12,14,-7,OFF5,OFF5,OFF5,F+11,OFF5,23,-3,-12,28,,,
29,B,19,-2,-1,16,22,23,23,33,67,0,-11,29,,,
30,7,4,DEF5X,3,1,5,19,DEF5,22,29,2,-9,30,,,
31,3,5,0,6,B,QT,9,INC,13,27,0,-6,31,,,
32,5,3,1,7,BLP,INC,INC,INC,INC,25,6,-5,32,,,
33,3,2,4,6,1,9,INC,QR,INC,23,0,-4,33,,,
34,1,7,1,2,SOP,INC,6,INC,INC,16,-1,-3,34,,,
35,-1,2,4,4,BLP,13,QR,QR,QT,28,5,1,35,,,
36,4,4,3,5,SOP,INC,QR,QR,INC,24,4,2,36,,,
37,1,1,2,0,4,8,QR,13,16,23,6,-6,37,,,
38,B,6,B,5,DEF5,7,PI14,14,13,19,-1,-10,38,,,
39,13,10,17,11,-1,13,18,16,B,58,27,-12,39,,,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,0,0,0,0,0,0,-4,-7,0,69,38,44,10,42,37,10
2,0,0,0,0,0,0,0,0,-8,52,26,DEF15,16,47,27,11
3,0,0,0,0,[2],0,0,-2,-6,73,19,26,4,36,35,12
4,-2,-1,-1,-1,-2,INC,0,QR,-11,69,24,32*,4,22,38,13
5,0,0,-2,-2,0,INC,INT8,-5,QT,60,DEF5X,49,1,OFF15,32,14
1,-2,-1,0,[0],-4,2,0,0,0,44,20,42,OFF15,DEF15,7,15
2,[0],[-1],0,-1,0,0,0,0,-1,45,F+13,51*,11,15,19,16
3,-1,0,0,0,-2,0,QR,0,0,OFF5,30,28*,11,F+13,34,17
4,0,0,0,-2,0,0,0,QR,0,68,30,45,8,48,NG,18
5,0,0,[0],0,[-6],0,[8],QT,INT17,72,37,48,21,73,NG,19
1,0,0,-3,0,0,-2,-4,-2,0,74,31,29,9,34,32,20
2,0,0,0,0,-4,-2,-1,0,-3,69,21,42,0,20,15,21
3,0,0,[0],0,[-1],0,0,-1,0,58,15,47*,DEF15,0,DEF15,22
4,0,-2,-4,-2,-3,INC,INC,QR,INC,69,13,49,0,15,36,23
5,[-1],0,-4,0,0,QT,-3,INT16,-2,66,19,49*,0,0,26,24
1,0,0,2,0,0,0,0,INC,-2,68,31,42*,0,14,28,25
2,1,1,0,1,0,-2,-6,-1,0,70,OFF15,36*,0,0,OFF5,26
3,1,2,0,2,0,0,-2,0,-8,56,24,47,10,16,35,27
4,1,1,0,0,1,INC,INT9,QR,-9,56,15,54,F+3,27,33,28
5,1,0,0,3,2,INC,INC,INT9,INC,57,33,52*,14,41,29,29
1,3,2,0,0,1,0,-2,-1,INC,65,17,34,2,24,35,30
2,1,0,3,5,1,0,-2,0,-8,64,15,OFF5,4,0,36,31
3,1,0,0,1,2,-1,INC,-2,-11,67,18,40,0,0,22,32
4,6,1,3,1,2,INC,QR,INT10,INT20,57,18,41,0,14,12,33
5,0,[33],[B],1,1,INT0,INT14,INT17,INT32,55,22,31*,0,0,37,34
1,0,-3,0,1,-5,4,0,-4,-11,57,13,39,0,0,8,35
2,1,6,-2,-2,-4,3,0,-1,-14,70,27,56*,0,0,23,36
3,-2,-3,0,-1,4,0,INC,INC,QT,63,18,46*,6,0,18,37
4,11,0,-1,-1,-4,0,QT,QR,INT34,45,17,45,4,28,35,38
5,4,-2,-5,-2,4,[TD],INT12,QT,QT,59,16,46,9,20,NG,39
