1977,Arkansas,Razorbacks,26,4264141,16777215,c:\Mike\Football\Helmets\Arkansas.bmp,ARK,1,
# ON DICE,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,B,QR,QT,# ON DICE,,,
10,11,DEF 15,-1,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,OFF 5,57,25,-15,10,
11,18,5,-2,17,10,-5,PI 8,22,29,56,20,-7,11,
12,13,6,-3,,OFF 5,-1*,6,17,37,51,14,-9,12,
13,OFF 15,7,8,,BLP,16*,INC,QR*,INT 42,47,11,-11,13,
14,10,,10,8,12,12,8,15,INT 21,45,8,-6,14,
15,12,8,DEF 15,16,13,15*,10,13,31,46,5,-14,15,
16,15,3,OFF 15,,15,-3*,5,18,DEF 15,48,12,-10,16,
17,14,5,,3,19,-6*,3,PI 13,40,57,19,-7,17,
18,DEF 15,OFF 15,F ,F ,DEF 15,INC,7,14,47,72,6,-6,18,
19,F -3,16,F -8,OFF 5,OFF 15,OFF 15,11,28,33*,TD,35,-29,19,
20,9,DEF 5,17*,B,7,-6,OFF 5,19,38,51,13,-12,20,
21,8,11,OFF 5,4,5,4*,OFF 15,25,32,47,7,-7,21,
22,2,15,-5,-5,4,-3,INT 9,INC,INC,38,23,-4,22,
23,6,2,B*,7,1,INC,QR,INC,INC,28,1,-1,23,
24,,-2,4,,-1,INC,QR,QT,QR,22,2,-2,24,
25,3,6,5,-1,,INC,QR,QT,QR,24,4,-3,25,
26,7,4,7,-2,3,-1,QR*,OFF 5,INC,36,F 5,-5,26,
27,5,14,11,-4,-1,12*,9,OFF 15,49,46,F 1,-8,27,
28,3,12,14,12,6,OFF 5,2,25,OFF 15,48,15,-13,28,
29,F 1,B*,DEF 5,OFF 15,9,DEF 15,12,20,PI 29,72,33,-16,29,
30,DEF 5,1,16,DEF 15,-1,4,1,16,OFF 5,38,9,-7,30,
31,B,9,12,2,2,QT,INC,QR,INC,35,3,-3,31,
32,3,7,-6,1,SOP,QR,QR,QR,INC,28,,-4,32,
33,4,B,1,,SOP,QR,QR,QR,INC,21,3,F -10,33,
34,-1,4,2,6,BLP,INC,QR,QR,QT,20,,F -1,34,
35,5,5,3,,BLP,INC,QR,QR,QT,20,2,-1,35,
36,4,OFF 5,9,9,SOP,INC,QR,QR,QT,23,1,-5,36,
37,3,-1,6,5,SOP,15,QT,INT 18,INC,28,4,-2,37,
38,OFF 5,13,18,11,-1*,16,QT*,DEF 15,TD,38,10,-6,38,
39,5,F -5,B,13,8,17,DEF 15,24,OFF 15,56,22,-15,39,
,LINE PLUNGE,COUNTER,END + REVERSE         ,DRAW,OPTION,SCREEN,SPRINT- OUT,BOOTLEG,DROP BACK,Kickoff ,Kickoff Return,PUNT       ,PUNT RETURN, INT.  RETURN, FIELD  GOAL,# ON DICE
1,,,4,(0),,-6,-1,-1,INC,,49,OFF 15,25*,,,10,
2,,3,,(0),(0),-6,-2,-2,QR,52,OFF 15,53,51,,DEF 5,11,
3,2,,,(0),(1),INC,-3,INC,-1,61,OFF 15,32*,-1,,36,12,
4,,,-3,,(2),,QR,INC,-4,64,OFF 15,47,F ,2,33,13,
5,,,-6,,(3),INT ,INT 6,INC,-8,65,1,59,1,13,22,14,
1,(0),(0),,(0),,,,,QR,65,15,45*,2,9,20,15,
2,(0),(1),,(0),,,QR,,,62,20,DEF 15,F -14,,33,16,
3,(0),(2),(11),(0),,1,,QR,,56,20,51,35,,OFF 5,17,
4,,,-3,F ,F -5,QT,,,(31),48,12,26*,-1,,44,18,
5,,,-8,,F 1,QT,,,(33),27,TD,18*,TD,TD,3,19,
1,,,(1),(1),,-1,-1,,QR,63,27,50,F -3,,33,20,
2,2,,(2),(1),,-2,-2,,QR,66,20,28*,18,,17,21,
3,,3,(3),,(4),-3,INC,QR,-5,OFF 5,16,34*,21,,19,22,
4,,,-3,,F -3,,QT,-5,-6,70,55,40*,OFF 15,48,22,23,
5,,(-2),-10,,-5,QT,-1,INC,-8,70,17,42*,OFF 15,OFF 15,35,24,
1,,,(13),(1),,-1,QR,-5,INC,70,22,37*,9,OFF 15,22,25,
2,,(10),,,,-2,-2,QR,-5,68,24,63,-8,,20,26,
3,(11),,,,,,INC,INT 16,INC,67,14,35*,11,,18,27,
4,,,,,(10),,-4,INC,-7,58,13,48,4,,39,28,
5,,,-6,,(14),,INT 7,INC,-9,45,29,55,17,,44,29,
1,,,(16),,,6,-4,-3,INC,66,31,39*,-3,,31,30,
2,,(16),,(1),,5,,-4,INC,70,26,36*,12,,22,31,
3,(12),,,,2,5,,INC,-9,70,23,44*,DEF 15,F 14,27,32,
4,F 12,F 29,,,(14),3,,QR,INT 25,70,20,52,DEF 15,26,36,33,
5,,,-4,,(16),F 14,,QR,INT 20,70,19,41*,3,22,40,34,
1,,,5,-5,-1,(13),QR,-5,QT,70,21,46*,7,9,50,35,
2,-2,-3,7,,-4,13,,-4,QT,70,18,38*,10,,35,36,
3,-1,-3,(24),,-2,11,,QT,-7,69,20,43*,6,64,22,37,
4,-2,(18),F 6,,-3,9,QT,QT,-8,65,25,58,56,,33,38,
5,(21),-3,-13,,(17),8,QT,INC,-9,DEF 5,39,56,20,,F -7,39,
